iter	RMSE
0	630.5991771
1	588.1038096
2	551.1794669
3	518.2392276
4	487.8212061
5	460.2715216
6	438.0651406
7	416.5795269
8	399.5094918
9	380.5952205
10	365.547446
11	351.5625722
12	339.0438894
13	326.7606781
14	316.2566887
15	307.8880296
16	299.5965479
17	291.5405429
18	284.8887108
19	279.873055
20	274.6665086
21	269.6097536
22	264.0045156
23	258.9664106
24	255.7217287
25	252.9996038
26	249.8906179
27	246.8675751
28	244.4093205
29	241.8797438
30	239.3068562
31	237.1788854
32	235.0198772
33	232.8190959
34	230.8075296
35	229.3243197
36	227.5336894
37	225.4952297
38	223.9578056
39	223.1927072
40	222.1090658
41	219.833572
42	218.4455321
43	216.330782
44	215.1222179
45	213.6064865
46	212.3604494
47	211.7955158
48	211.275933
49	210.4334926
50	209.6681099
51	207.7793117
52	206.569152
53	204.6823728
54	203.0681897
55	201.5644722
56	200.3452138
57	196.6558361
58	195.7322698
59	193.6867766
60	192.8097446
61	191.8342297
62	191.2396575
63	190.4508344
64	189.8323113
65	188.883071
66	188.0641747
67	187.0845921
68	186.2484141
69	185.1213797
70	184.3032614
71	183.1246717
72	182.272592
73	181.1188527
74	180.1087125
75	178.7088012
76	178.0718835
77	176.288284
78	174.9307892
79	174.3329354
80	174.0222691
81	173.5618235
82	173.0969087
83	172.1758019
84	171.7514911
85	171.4021902
86	170.368093
87	169.9165757
88	167.8336693
89	167.3178146
90	166.5252951
91	166.0295012
92	164.9201222
93	164.7267405
94	163.6756514
95	162.9486344
96	162.3432515
97	161.8110452
98	161.5502746
99	161.3954046
100	160.8535782
101	159.7718492
102	159.2403329
103	158.2388726
104	157.760401
105	157.0940368
106	156.3212816
107	156.1079283
108	155.7049279
109	155.0878901
110	154.3094855
111	153.6462062
112	152.8535249
113	152.2509643
114	151.6548331
115	150.8476563
116	150.5245771
117	150.4327461
118	149.9661936
119	149.7129783
120	148.6330836
121	148.3225369
122	147.645257
123	146.8804742
124	146.363666
125	145.3716422
126	145.0350351
127	144.3898521
128	143.7512494
129	142.7685845
130	142.1175513
131	141.7610627
132	141.2072047
133	140.660439
134	139.5615277
135	139.2076106
136	138.8902825
137	138.3102086
138	137.6919775
139	137.5889848
140	137.4937774
141	136.7730673
142	136.3257708
143	136.0008382
144	135.9286967
145	135.1676891
146	134.8743257
147	134.7995503
148	133.9066712
149	133.6776064
150	133.4017765
151	132.9821436
152	132.8531252
153	132.6264079
154	131.7556015
155	131.4802139
156	130.7771034
157	130.6504194
158	129.8137605
159	129.1175135
160	128.6120367
161	128.1144635
162	127.8872434
163	127.8216772
164	127.2927506
165	126.6421759
166	126.4991544
167	126.151876
168	126.098814
169	125.3800698
170	124.6928997
171	124.0791977
172	124.0474791
173	123.5836096
174	123.0618337
175	122.6975767
176	122.5536827
177	122.043404
178	121.9539684
179	121.6235315
180	120.9153953
181	120.7728355
182	120.173001
183	120.1371377
184	120.0933374
185	119.9314959
186	119.5062995
187	119.006459
188	118.4980104
189	117.8433884
190	117.2206461
191	116.7231196
192	115.9768573
193	115.8540157
194	115.3632899
195	114.6928111
196	114.5805009
197	114.2107311
198	113.809151
199	113.3647101
200	112.7222157
201	112.6984786
202	112.2171806
203	111.7135318
204	111.5257897
205	111.2343769
206	110.8564393
207	110.2443105
208	109.7695431
209	109.678161
210	109.3937319
211	109.0669018
212	108.5174639
213	107.974041
214	107.4570091
215	107.2344578
216	106.9389842
217	106.7855198
218	106.4314388
219	106.0968245
220	105.5490171
221	105.2435839
222	104.9841154
223	104.5560114
224	104.1292686
225	103.7056492
226	103.5563126
227	103.2895658
228	103.1677193
229	102.8001101
230	102.7068092
231	102.3648464
232	102.3246619
233	101.8221052
234	101.3525265
235	101.2529103
236	101.0108792
237	100.7882945
238	100.7554696
239	100.5738306
240	100.3454113
241	100.10751
242	99.95514423
243	99.94036241
244	99.91819781
245	99.50407253
246	99.21324969
247	99.0562077
248	98.82914113
249	98.70240804
250	98.3211334
251	98.15545203
252	98.09432588
253	97.75065292
254	97.41391713
255	97.08545333
256	96.94035547
257	96.67509101
258	96.65828571
259	96.5247655
260	96.27977117
261	95.98826064
262	95.74139307
263	95.31468457
264	95.13745426
265	94.92655416
266	94.50428105
267	94.44523107
268	94.20576881
269	93.87641877
270	93.81562909
271	93.6262854
272	93.30808934
273	93.09948922
274	92.88318251
275	92.74224057
276	92.69441335
277	92.6194022
278	92.39450803
279	92.09591946
280	91.80227329
281	91.71407046
282	91.50839239
283	91.13577989
284	90.99115905
285	90.71839082
286	90.47291047
287	90.23782372
288	90.01734128
289	89.63943599
290	89.51585915
291	89.19020424
292	88.88669602
293	88.7794434
294	88.55840761
295	88.43807433
296	88.19169444
297	87.8626918
298	87.63156718
299	87.38260305
300	87.11294776
301	86.86394221
302	86.68097762
303	86.40934141
304	86.19821996
305	86.07064695
306	85.91990942
307	85.57426808
308	85.32065286
309	85.19805562
310	85.00669038
311	84.64820496
312	84.43822212
313	84.20181412
314	83.87677964
315	83.85185661
316	83.74395187
317	83.72560195
318	83.47267267
319	83.33900759
320	83.03901165
321	82.86547521
322	82.69279324
323	82.36220318
324	82.03127706
325	81.70095408
326	81.40905522
327	80.89451415
328	80.70093551
329	80.50307861
330	80.34436494
331	80.18606517
332	80.15884475
333	80.07593667
334	79.87285827
335	79.52587418
336	79.28822867
