Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects,Candidate_Profile
data python development writing motorsport,city johannesburg gauteng south africa,south africa,unknown,research assistant data science intern data sustainability engineer investment analyst contributing writer vehicle testing data scientist professional driver prompt engineer,genisus extreme inride masterdrive greendesign africa car magazine physic arpes lab alvin technology university johannesburg decarbonise africa exploreai academy,6,university south africa universiteit van suid afrika university johannesburg university johannesburg exploreai academy exploreai academy university johannesburg metropolitan academy shaw academy university johannesburg university johannesburg university johannesburg metropolitan academy,bachelor science computational applied mathematics bachelor science mathematics computer science yet completed bachelor science mathematics computer science data science data science data science dairy science diploma full stack web development bachelor science physic applied mathematics bachelor science applied mathematics,unknown,aws certified cloud practitioner dfge course certificate complete flutter development bootcamp dart,unknown,data python development writing motorsport research assistant data science intern data sustainability engineer investment analyst contributing writer vehicle testing data scientist professional driver prompt engineer genisus extreme inride masterdrive greendesign africa car magazine physic arpes lab alvin technology university johannesburg decarbonise africa exploreai academy university south africa universiteit van suid afrika university johannesburg university johannesburg exploreai academy exploreai academy university johannesburg metropolitan academy shaw academy university johannesburg university johannesburg university johannesburg metropolitan academy bachelor science computational applied mathematics bachelor science mathematics computer science yet completed bachelor science mathematics computer science data science data science data science dairy science diploma full stack web development bachelor science physic applied mathematics bachelor science applied mathematics unknown aws certified cloud practitioner dfge course certificate complete flutter development bootcamp dart unknown
lead data science engineering com,city johannesburg gauteng south africa,south africa,computer software,lecturer lead data science engineering senior engineer senior developer data scientist technical coordinator,university cape town com hozi siyavula,17,university cape town university cape town university cape town,bsc geomatics bsc honour astrophysics space science msc astrophysics space science bsc geomatics bsc honour astrophysics space science msc astrophysics space science,simulation spectroscopy high performance computing python programming latex gi planning scientific writing science machine learning technical writing geomatics image processing physic data analysis statistic research,edx honor code certificate introduction computational thinking data science,unknown,lead data science engineering com lecturer lead data science engineering senior engineer senior developer data scientist technical coordinator university cape town com hozi siyavula university cape town university cape town university cape town bsc geomatics bsc honour astrophysics space science msc astrophysics space science bsc geomatics bsc honour astrophysics space science msc astrophysics space science simulation spectroscopy high performance computing python programming latex gi planning scientific writing science machine learning technical writing geomatics image processing physic data analysis statistic research edx honor code certificate introduction computational thinking data science unknown
data scientist data analytics,city johannesburg gauteng south africa,south africa,information technology service,senior specialist data scientist data analyst reporting analyst acting manager business analytics computer science tutor system engineer graduate organising committee system engineer manager pricing analytics,deep learning indabax south africa taulite pty ltd mtn south africa talent warehouse mtn university witwatersrand johannesburg,10,university witwatersrand university pretoria universiteit van pretoria digitalcampus university witwatersrand magoza secondary school university witwatersrand johannesburg university pretoria universiteit van pretoria magoza secondary school,bachelor science bsc honour computer science master information technology mit big data science principle management business administration management general bachelor science computer science computational applied mathematics bachelor science bsc honour computer science master information technology mit big data science,matlab java c++ programming latex leadership teamwork microsoft excel microsoft office powerpoint customer service coldfusion python oracle sql developer research data analysis microsoft word communicatin javascript sql analysis analytical skill,microsoft certified azure fundamental,unknown,data scientist data analytics senior specialist data scientist data analyst reporting analyst acting manager business analytics computer science tutor system engineer graduate organising committee system engineer manager pricing analytics deep learning indabax south africa taulite pty ltd mtn south africa talent warehouse mtn university witwatersrand johannesburg university witwatersrand university pretoria universiteit van pretoria digitalcampus university witwatersrand magoza secondary school university witwatersrand johannesburg university pretoria universiteit van pretoria magoza secondary school bachelor science bsc honour computer science master information technology mit big data science principle management business administration management general bachelor science computer science computational applied mathematics bachelor science bsc honour computer science master information technology mit big data science matlab java c++ programming latex leadership teamwork microsoft excel microsoft office powerpoint customer service coldfusion python oracle sql developer research data analysis microsoft word communicatin javascript sql analysis analytical skill microsoft certified azure fundamental unknown
god family data,johannesburg metropolitan area,south africa,unknown,chief operation officer chess instructor senior data engineer data capture specialist committee member event promoter presenter afritwin programme chief technology officer data engineer provincial coach student junior data scientist senior data scientist actuarial intern,university cape town african chess lounge uct entrepreneur society chess western province matrix analytics group africa university cape town campus management varsity villiage grandstan management cape epic wineswhales ironman holding pty ltd international student exchange program explore comotion business solution sand technology mobilife fsp jobsco executive service cop rain south africa uct consulting club bishop diocesan college pre paratory investment society investsoc uct,15,durban youth council university cape town northwood boy high school crawford college north coast,councilor hiv humanity bachelor commerce bcom statistic economics finance nsc nsc vcaa certificate vcaa nsc matric certificate,unknown,unknown,unknown,god family data chief operation officer chess instructor senior data engineer data capture specialist committee member event promoter presenter afritwin programme chief technology officer data engineer provincial coach student junior data scientist senior data scientist actuarial intern university cape town african chess lounge uct entrepreneur society chess western province matrix analytics group africa university cape town campus management varsity villiage grandstan management cape epic wineswhales ironman holding pty ltd international student exchange program explore comotion business solution sand technology mobilife fsp jobsco executive service cop rain south africa uct consulting club bishop diocesan college pre paratory investment society investsoc uct durban youth council university cape town northwood boy high school crawford college north coast councilor hiv humanity bachelor commerce bcom statistic economics finance nsc nsc vcaa certificate vcaa nsc matric certificate unknown unknown unknown
graduate wit master student wit data science intern wit university business intelligence service,city johannesburg gauteng south africa,south africa,unknown,vacation student data scientist intern,wit business intelligence service university witwatersrand business intelligence service,1,university witwatersrand university witwatersrand lenasia muslim school university witwatersrand university witwatersrand university witwatersrand,bachelor science honour computer science computer science master science computer science nsc mathematics physical science accounting life science english afrikaans fal bachelor science computer science bachelor science honour computer science computer science,unknown,unknown,cnn image classification probabilistic graphical model praktyk autonomous robot navigation space crusader research exploring legend category player success apex legend various machine learning nlp swahili arena reconnaissance chess agent,graduate wit master student wit data science intern wit university business intelligence service vacation student data scientist intern wit business intelligence service university witwatersrand business intelligence service university witwatersrand university witwatersrand lenasia muslim school university witwatersrand university witwatersrand university witwatersrand bachelor science honour computer science computer science master science computer science nsc mathematics physical science accounting life science english afrikaans fal bachelor science computer science bachelor science honour computer science computer science unknown unknown cnn image classification probabilistic graphical model praktyk autonomous robot navigation space crusader research exploring legend category player success apex legend various machine learning nlp swahili arena reconnaissance chess agent
unknown,city johannesburg gauteng south africa,south africa,marketing advertising,senior data manager data analytics mentor social medium research assistant data scientist recruit data analyst dside student data analyst intern founder junior strategist coder data science lead assistant controller data scientist ecommerce analyst,umuzi org thinkful wunderman thompson woolworth wunderman applogix barloworld logistics digital kungfu forensic restitution council scientific industrial research wns global service inclined mark,14,university cape town matthew private secondary school umuzi matthew high school,data science certificate data science information technology system development information technology,microsoft office strategic planning customer service negotiation management social medium management marketing business strategy,uct data science course certificate information technology system development certificate information technology system development fundamental digital marketing,house price predictor model github,unknown senior data manager data analytics mentor social medium research assistant data scientist recruit data analyst dside student data analyst intern founder junior strategist coder data science lead assistant controller data scientist ecommerce analyst umuzi org thinkful wunderman thompson woolworth wunderman applogix barloworld logistics digital kungfu forensic restitution council scientific industrial research wns global service inclined mark university cape town matthew private secondary school umuzi matthew high school data science certificate data science information technology system development information technology microsoft office strategic planning customer service negotiation management social medium management marketing business strategy uct data science course certificate information technology system development certificate information technology system development fundamental digital marketing house price predictor model github
data analyst data scientist,city johannesburg gauteng south africa,south africa,unknown,data annotation specialist data analyst tech support data science intern data analyst intern system development data scientist consumer data management intern junior data scientist,explore data science academy telkom ashanti enlabeler exploreai academy,6,university johannesburg university johannesburg university johannesburg explore data science academy,national diploma electrical electronics engineering national diploma electrical engineering electronics national diploma electrical engineering electronics data analytics certificate information technology,unknown,power hand power training data science data analysis panda python microsoft excel beginner expect hour aws certified cloud practitioner microsoft sql,unknown,data analyst data scientist data annotation specialist data analyst tech support data science intern data analyst intern system development data scientist consumer data management intern junior data scientist explore data science academy telkom ashanti enlabeler exploreai academy university johannesburg university johannesburg university johannesburg explore data science academy national diploma electrical electronics engineering national diploma electrical engineering electronics national diploma electrical engineering electronics data analytics certificate information technology unknown power hand power training data science data analysis panda python microsoft excel beginner expect hour aws certified cloud practitioner microsoft sql unknown
advanced analytics data science cvm crm strategist,johannesburg metropolitan area,south africa,financial service,analytical science tutor senior manager people insight analytics laboratory demonstator manager advanced analytics business data analysis candidate inservice forensic analyst senior specialist advanced analytics modelling scoring specialist data scientist inservice trainee forensic analyst inservice trainee lab technician,wesbank mindworx academy hollard insurance vodacom lesotho mounted police service forensic laboratory national university lesotho massmart,15,lesotho high school national university lesotho international business management institute ibmi university south africa universiteit van suid afrika national university lesotho,bsc biochemical engineering technology analytical chemistry bioinformatics genetics physic organic physical chemistry graded honour degree saqa diploma management bachelor commerce bcom management science quantitative method bsc biochemical technology analytical chemistry bioinformatics genetics physic organic physical chemistry,glp drug discovery leadership western blotting spotfire microsoft excel microsoft office powerpoint customer service python elisa sa hplc research chromatography flow cytometry biochemistry management data analysis microsoft word management change management microsoft powerpoint data mining pcr sql analysis dna extraction business analysis protein purification business data analytics protein chemistry analytical skill,python data structure intro python data science data robot esentials data scientist toolbox intermediate unsupervised learning introduction programming everybody getting started python intermediate python data science,unknown,advanced analytics data science cvm crm strategist analytical science tutor senior manager people insight analytics laboratory demonstator manager advanced analytics business data analysis candidate inservice forensic analyst senior specialist advanced analytics modelling scoring specialist data scientist inservice trainee forensic analyst inservice trainee lab technician wesbank mindworx academy hollard insurance vodacom lesotho mounted police service forensic laboratory national university lesotho massmart lesotho high school national university lesotho international business management institute ibmi university south africa universiteit van suid afrika national university lesotho bsc biochemical engineering technology analytical chemistry bioinformatics genetics physic organic physical chemistry graded honour degree saqa diploma management bachelor commerce bcom management science quantitative method bsc biochemical technology analytical chemistry bioinformatics genetics physic organic physical chemistry glp drug discovery leadership western blotting spotfire microsoft excel microsoft office powerpoint customer service python elisa sa hplc research chromatography flow cytometry biochemistry management data analysis microsoft word management change management microsoft powerpoint data mining pcr sql analysis dna extraction business analysis protein purification business data analytics protein chemistry analytical skill python data structure intro python data science data robot esentials data scientist toolbox intermediate unsupervised learning introduction programming everybody getting started python intermediate python data science unknown
data scientist aspiring cloud architect mastercard foundation sql data science expert #alxafrica woman advocate diversity tech innovation,city johannesburg gauteng south africa,south africa,unknown,founder marketing manager financial analyst aviation travel consultant seafarer air stewardess global master data administrator aviation travel consultant data scientist intern sri safety officer data scientist intern,alx_africa hts diederichs th opulentedges online saint gobain africa oasis infobyte hts diedricks qas aviation academy,6,university people south african maritime safety authority qas aviation academy university people qas aviation academy exploreai academy proactive complaince grindrod shipping academy qas aviation academy,bachelor science mathematics computer science maritime study stcw cruise liner license aviation international travel operation management bachelor science mathematics computer science aviation international travel operation management computer science engineering technology nqf level sri safety officer occupational health safety consultant south african maritime safety authority samsa maritime study stcw cruise liner license diploma aviation aviation airway management operation,unknown,nqf level data science alx data science certification cabin crew licence advanced diploma aviation sri officer maritime study stcw cruise liner license stcw seafarer license data science artificial intelligence excel beginner pro workshop unsupervised learning,maji ndogo data visualisation clean water,data scientist aspiring cloud architect mastercard foundation sql data science expert #alxafrica woman advocate diversity tech innovation founder marketing manager financial analyst aviation travel consultant seafarer air stewardess global master data administrator aviation travel consultant data scientist intern sri safety officer data scientist intern alx_africa hts diederichs th opulentedges online saint gobain africa oasis infobyte hts diedricks qas aviation academy university people south african maritime safety authority qas aviation academy university people qas aviation academy exploreai academy proactive complaince grindrod shipping academy qas aviation academy bachelor science mathematics computer science maritime study stcw cruise liner license aviation international travel operation management bachelor science mathematics computer science aviation international travel operation management computer science engineering technology nqf level sri safety officer occupational health safety consultant south african maritime safety authority samsa maritime study stcw cruise liner license diploma aviation aviation airway management operation unknown nqf level data science alx data science certification cabin crew licence advanced diploma aviation sri officer maritime study stcw cruise liner license stcw seafarer license data science artificial intelligence excel beginner pro workshop unsupervised learning maji ndogo data visualisation clean water
data analyst standard bank group internal audit gia,city johannesburg gauteng south africa,south africa,unknown,data analyst data scientist data science trainee business analyst,standard bank group nedbank,6,tshwane university technology,information technology,unknown,cca spark hadoop developer learning hadoop introduction data science microsoft certified azure data fundamental pcap certified associate python programming oracle database sql fundamental,unknown,data analyst standard bank group internal audit gia data analyst data scientist data science trainee business analyst standard bank group nedbank tshwane university technology information technology unknown cca spark hadoop developer learning hadoop introduction data science microsoft certified azure data fundamental pcap certified associate python programming oracle database sql fundamental unknown
partner data analytics,city johannesburg gauteng south africa,south africa,insurance,senior business analyst sql developer data scientist business analyst partner data analytics,south african revenue service sars porcupine union king price insurance,18,university south africa universiteit van suid afrika hoërskool die wilgers treqna university hoërskool die wilgers treqna university university south africa universiteit van suid afrika,course taxation six sigma white belt six sigma white belt course taxation,analysis microsoft sql server program management business intelligence business analysis data warehousing stakeholder management data analysis change management data modeling business process improvement analytical skill requirement analysis business strategy,mcse business intelligence mcps microsoft certified professional mcse data management analytics mcsa sql server,unknown,partner data analytics senior business analyst sql developer data scientist business analyst partner data analytics south african revenue service sars porcupine union king price insurance university south africa universiteit van suid afrika hoërskool die wilgers treqna university hoërskool die wilgers treqna university university south africa universiteit van suid afrika course taxation six sigma white belt six sigma white belt course taxation analysis microsoft sql server program management business intelligence business analysis data warehousing stakeholder management data analysis change management data modeling business process improvement analytical skill requirement analysis business strategy mcse business intelligence mcps microsoft certified professional mcse data management analytics mcsa sql server unknown
data automation specialist searchkings africa,city johannesburg gauteng south africa,south africa,unknown,data automation specialist data scientist student junior data scientist junior data analyst junior data analyst intern,searchkings africa accenture song umuzi org king james group,7,unknown,unknown,unknown,unknown,unknown,data automation specialist searchkings africa data automation specialist data scientist student junior data scientist junior data analyst junior data analyst intern searchkings africa accenture song umuzi org king james group unknown unknown unknown unknown unknown
senior consultant data driven data specialist,city johannesburg gauteng south africa,south africa,unknown,data consultant rich medium consultant data specialist senior data consultant payment corporate investment banking digital analyst campaign planner senior consultant payment data corporate investment banking founder senior consultant data analytics product development manager info service specialist data scientist senior consultant data compliance gdpr business analyst head data science corporate investment banking,livewell zurich fridaysaturday medium standard bank group indieplus vml south africa itweb absa group brandsh mobile social medium agency spoton consulting mtn indietickets freethinking,17,university south africa universiteit van suid afrika university cape town gib business school gordon institute business science university cape town national school art university cape town,information science data science python course data science strategic leadership course strategy product management course product management national senior certificate music certificate internet law,unknown,internet law storytelling data visualization course data cleaning python advanced course panda numpy fundamental course python data science fundamental course python data science intermediate course strategic leadership storytelling data visualization information design course data cleaning analysis course data science python product management exploratory data visualization course,unknown,senior consultant data driven data specialist data consultant rich medium consultant data specialist senior data consultant payment corporate investment banking digital analyst campaign planner senior consultant payment data corporate investment banking founder senior consultant data analytics product development manager info service specialist data scientist senior consultant data compliance gdpr business analyst head data science corporate investment banking livewell zurich fridaysaturday medium standard bank group indieplus vml south africa itweb absa group brandsh mobile social medium agency spoton consulting mtn indietickets freethinking university south africa universiteit van suid afrika university cape town gib business school gordon institute business science university cape town national school art university cape town information science data science python course data science strategic leadership course strategy product management course product management national senior certificate music certificate internet law unknown internet law storytelling data visualization course data cleaning python advanced course panda numpy fundamental course python data science fundamental course python data science intermediate course strategic leadership storytelling data visualization information design course data cleaning analysis course data science python product management exploratory data visualization course unknown
specialist data analyst,city johannesburg gauteng south africa,south africa,unknown,data analyst graduate data analyst data scientist business analyst specialist data analyst,wesbank fnb south africa capitec,7,datacamp gib business school gordon institute business science university limpopo,certificate data modeling warehousing database administration certificate business management marketing related support service bsc mathematical science mathematics statistic,unknown,unknown,unknown,specialist data analyst data analyst graduate data analyst data scientist business analyst specialist data analyst wesbank fnb south africa capitec datacamp gib business school gordon institute business science university limpopo certificate data modeling warehousing database administration certificate business management marketing related support service bsc mathematical science mathematics statistic unknown unknown unknown
