Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
Driven by passion and dedication,"Bloemfontein, Free State, South Africa",South Africa,,"Commission Sales Associate, Data Scientist","Insignia Solutions LLC, Appen",6,"Central University of Technology, Free State","Diploma in Public Management, Management science, Second year",,,
"Centralized Monitoring Manager and People Leader with expertise in Project Management, Data Management, and Risk-Based-Quality Management. Advocates for decisions informed by data analytics.","Bloemfontein, Free State, South Africa",South Africa,Hospital & Health Care,"Data Management Team Lead, Associate Data Team Lead, Trial Data Manager (TDM), Senior Central Monitoring Analyst II, Educator, Immersed Consultant/Provincial Project Manager, Manager Data Analytics, Senior Central Monitor with additional role as Data Visualization Facilitator, Immersed Consultant, Senior Central Monitor, SA-SAMS Data Cleansing Official, Central Data Scientist with additional role as Data Visualization Facilitator, Manager Centralized Monitoring, SA-SAMS Data Cleaning Official, Data Cleaning Official, Provincial Project Manager","Dr. Viljoen Combined School, Thermo Fisher Scientific, ICON plc, University of the Free State | Universiteit van die Vrystaat, ICON Strategic Solutions, PPD, PRA Health Sciences, IQVIA, MMS, New Leaders Foundation",15,"University of the Free State, University of the Free State, University of the Free State, University of the Free State, Hoërskool Jim-Fouché, University of the Free State","Programme and Project Management, Education, Higher Certificate, Programme and Project Management, Education, Education, Matriculated, Higher Certificate , Programme and Project Management",,"Microsoft Project 2010 Essential Training, Project Management: Preventing Scope Creep, Microsoft Teams Tips and Tricks, Communication Foundations (2013), Excel 2010: Managing Multiple Worksheets and Workbooks, The Data Science of Healthcare, Medicine, and Public Health, with Barton Poulson, Microsoft Teams Quick Tips, Project Management Simplified, Learning Data Analytics: 1 Foundations, Migrating from Skype for Business to Teams",
Senior Clinical Data Scientist Lead at PRA Health Sciences,"Bloemfontein, Free State, South Africa",South Africa,,"Data Management Team Lead, Senior Clinical Data Scientist Lead","PRA Health Sciences, ICON plc, IQVIA",17,,,,,
Data Scientist at Bitcube | Business Intelligence | Engineering Technologist,"Bloemfontein, Free State, South Africa",South Africa,,"Electrical Engineering Technician in training , Electrical Engineering Technician in Training, Data Science Intern, Electrical Engineering Technician in training, Mathematics Assistant Lecturer, Electronic Technician, Data Scientist, Executive Assistant, Assistant Lecturer","Bitcube, Motheo TVET, Motheo Tvet College, Transnet Freight Rail",8,"Central University of Technology, Free State, Central University of Technology, Free State, Central University of Technology, Free State","National Diploma, Electrical  Engineering, Bachelor of Technology, Electrical Engineering, Post Graduate Diploma, Project Management",,,
QA Associate II at Bioforum the Data Masters,"Bloemfontein, Free State, South Africa",South Africa,,"Owner, Clinical Process Trainee, Owner and Pilates Instructor, Deputy Prime at Roosmaryn, Clinical Process Coordinator, Biokineticist Intern, Data Scientist, QA Associate II, Quality Assurance Associate, Senior Quality Assurance Associate","Bioforum the Data Masters, Body Positive Pilates Bloemfontein, University of the Free State, Validify, IQVIA",11,,,,,
"Manager, Clinical Data Science, ICON Operational Delivery","Bloemfontein, Free State, South Africa",South Africa,Research,"Principal Clinical Data Scientist Lead, Data Team Lead, Program Manager, Clinical Data Science, ICON Operational Delivery, PNB1 Speciality:  Scrub, Lead Data Manager, Senior Principal Clinical Data Scientist Lead, Clinical Data Scientist Lead","PRA Health Sciences, ICON plc, IQVIA, Universitas Hospital",18,"University of the Free State/Universiteit van die Vrystaat, University of the Free State/Universiteit van die Vrystaat, University of the Free State/Universiteit van die Vrystaat","Bachelor's degree and Honors, B.Soc.Sc, B.Soc.Sc (Advanced), Operating Theatre Technique, HIV Care and Counselling, Infection Prevention and Control, Bachelor's degree and Honors, B.Soc.Sc ",,"Inspirational Leadership Skills: Practical Motivational Leadership, Microsoft® Project 2016: Essential Training, Yammer 2016 Essential Training, Excel 2016: Macros in Depth, Troubleshoot Common PC Issues, Building Business Relationships, Data Ethics: Making Data-Driven Decisions, Securing Your Mobile Device, InForm 6.1 New Features for 4.x Sponsor Users , Excel 2013: Pivot Tables in Depth, Office for Android Essential Training, Coaching Skills for Leaders and Managers, Skype for Business Essential Training, Windows 10 Fundamentals for IT Pros, Performance Management: Conducting Performance Reviews, Computer Science Principles: Programming, Learning to Be Assertive, Leading with Emotional Intelligence, Unlocking Authentic Communication in a Culturally-Diverse Workplace, Leading When You're Not in Charge, Communicating with Confidence, Developing Adaptable Managers, Overcoming Obstacles to Leading with Confidence, Managing Healthcare Projects , Excel 2016 Essential Training, IT Administrator's Guide to Mac OS X El Capitan, The Fundamentals of Document Retention and Data Management, Soft Skills for Information Security Professionals, Visual Basic Essential Training, Understanding the Leadership Behaviors That Can Sabotage Your Success, Windows 10: Configure, Secure, and Manage Data, Critical Thinking, Project Management Fundamentals, Windows 10 Networking Fundamentals, Balancing Work and Life, Why the First Days at a New Job Matter, Excel Quick Tips, The Secrets to Success at Work, 10 Mistakes Leaders Should Avoid, Managing Healthcare Projects, Windows 10 Administration, Teamwork Fundamentals, Quality Standards in Customer Service, Managing Up, Introduction to Data Science, Managing Virtual Teams, Writing Email, Up and Running with Apple Remote Desktop, A Manager's Toolkit for Supporting Change, Introduction to Data Governance, Deploy Windows 10 with Microsoft Deployment Toolkit 2013, Influencing Others, How to Manage Your Manager, Finding a Sponsor, Managing Teams, Learning Wireless Networking, Listening to Customers, Getting Things Done, Agile Project Management, Leadership Skills for The Future, Project Management Simplified, Communication Fundamentals, Asking Great Data Science Questions, Excel 2016: Advanced Formulas and Functions, Microsoft® Project 2013 Essential Training, InForm 6.1 New Features for 4.x Sponsor Users, Where to Focus: Weaknesses or Strengths?, Business Etiquette: Phone, Email, and Text, Excel 2007: Macros in Depth, How to Lead and Inspire Change, Up and Running with Mojo Helpdesk, Data Ethics: Managing Your Private Customer Data, Performance Management: Employee Engagement, Data Science Teams: Telling Stories With Data, Conflict Resolution Fundamentals, Learning Microsoft Project, Solving Common Project Problems, Having Difficult Conversations, Leadership Fundamentals",
Senior Quantitative Analyst at FNB Broader Africa| FRM Level 1,"Bloemfontein, Free State, South Africa",South Africa,,"Quantitative Analyst, Senior Quantitative Analyst, Data Scientist","FirstRand group, WesBank, Rand Merchant Bank, FNB South Africa",6,"University of the Free State, University of the Free State/Universiteit van die Vrystaat, University of the Free State/Universiteit van die Vrystaat, University of the Free State/Universiteit van die Vrystaat","Bachelor's degree, Actuarial Science, Honours Bachelor's degree, Mathematical Statistics, Bachelor's degree, Mathematical Statistics, Bachelor's of Science, Actuarial Science",,,
Data Scientist,"Bloemfontein, Free State, South Africa",South Africa,,Data Scientist,Kastelo,1,"University of the Free State, University of the Free State, University of the Free State","Bachelor of Science - BS, Physics and Engineering Subjects, -",,Introduction to Computer Science,
Clinical Data Scientist,Bloemfontein Metropolitan Area,South Africa,Sports,"Project Data Manager, Clinical Data Lead, Sales Representative, Clinical Data Scientist, Sport Scientist, Assoc Data Team Lead","Sports Performance Clinic, ICON plc, Syneos Health, IQVIA, Hymax Bloemfontein",10,"Sentraal High School, University of the Free State/Universiteit van die Vrystaat, Sentraal High School","-, Bachelor's Degree, Sport Science","deep tissue massage, fitness training, customer service, microsoft excel, research, microsoft office, strength training, public speaking, sports, therapeutic massage, personal training, microsoft word",,
Senior Clinical Data Scientist,Bloemfontein Metropolitan Area,South Africa,,"Assistant Associate Clinical Data Coordinator, Beauty Therapist, Associate Clinical Data Management, Senior Clinical Data Scientist, Lecturer, Spa Manager","Clindata, Steiner Leisure Limited, Bioforum the Data Masters, Potchefstroom Academy & SAAHST, Danika spa, You Nique beauty salon, IQVIA",18,Potchefstroom Academy,"Somatology Higher Diploma, Health and Beauty",,,
