Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
Product Owner at MagicOrange,"Durban, KwaZulu-Natal, South Africa",South Africa,Information Technology & Services,"Finance Transition Analyst, Data Scientist, CTO, Senior Engineer, Data Engineer, Product Owner, Data Engineer, Analytics, Application Developer / Analyst, Data Analyst, Lead Software Engineer - Systems Transformation  (Group Operations)","Barclays, Brismo, MagicOrange, Lloyds Banking Group, Comrange, Sucden Financial Limited, Curious Giraffe (Pty) Ltd., AltFi Data, ThoroughTec Simulation, Magic Orange",17,"CFA Institute, Stanford University Graduate School of Business, University of KwaZulu-Natal, CFA Institute, University of KwaZulu-Natal, Stanford University Graduate School of Business, Stanford University Graduate School of Business, CFA Institute, CFA Institute","Level 1, Level 2, Level 3, Finance, General, Stanford LEAD Executive Program, BSc, Electrical, Electronics and Communications Engineering, Level 1, Level 2, Level 3, BSc, Electronic Engineering, LEAD Program, LEAD Program, Level 1, Level 2, Level 3, Level 1, Level 2, Level 3",,"Introduction to Digital Currencies DFIN-511, The Analytics Edge - MITx, MCP: Microsoft Certified Professional, Machine Learning by Stanford University, Andrew Ng, Data Science Specialization by Johns Hopkins University - (9 courses completed), PL-900: Microsoft Power Platform Fundamentals, Data Science Specialization by Johns Hopkins University - In Progress, Tackling the Challenges of Big Data",
,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Data Engineer, Program Manager Data Engineering","Sand Technologies, ExploreAI Academy",4,,,,,
Turning Data Into Actionable Insights | Data Analyst | 8X Microsoft Certified | Machine Learning & AI Enthusiast,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Data Science Intern",Telkom,1,"ExploreAI Academy, Durban University of Technology, Durban University of Technology, Durban University of Technology","Data Science, diploma, Information communication technology, 72%, Advanced diploma in ICT, Information Technology, 72%, diploma, Information communication technology",,"Microsoft Certified: Dynamics 365 Fundamentals (CRM), Microsoft Certified: Azure Administrator Associate, Microsoft Certified: Security, Compliance, and Identity Fundamentals, Microsoft Certified: Power Platform Fundamentals, Microsoft Certified: Azure Data Scientist Associate, Microsoft Certified: Azure Fundamentals, Microsoft Certified: DevOps Engineer Expert, Microsoft Certified: Power Platform App Maker Associate",
Senior BI Developer 📊 ||Data Analyst 📊 || Financial Analyst Enthusiast 💹,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Senior Business Intelligence Developer, Data Science Intern, Business Intelligence Developer, junior Data Scientist, Senior Business Developer","Explore Data Science Academy, Ignition Group",5,"University of Zululand, ExploreAI Academy","Bachelor's degree, Computer Science and mathematic, National certificate, Systems development",,"AWS Essentials, Workshop in Probability and Statistics, SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL, AWS Certified Cloud Practitioner, Power BI A-Z: Hands-On Power BI Training For Data Science!, Agile Crash Course: Agile Project Management; Agile Delivery, Machine Learning A-Z™: Hands-On Python & R In Data Science, Snowflake for Developers",
Data Scientist at Ignition Group,Durban Metropolitan Area,South Africa,,"Data Scientist, Data Science Intern, Junior Data Scientist, Mathematics Tutor","Kip McGrath Education Centres, Ignition Group",6,"Stellenbosch University, Explore Data Science Academy","BEng Mechanical Engineering, Data Science",,"Graphic Design Masterclass, Statistical Thinking in Python (Part 1), Python Data Science Toolbox (Part 2), Introduction to Data Visualization in Python, Agile Crash Course, Google Office, Workshop in Probability and Statistics, Python Data Science Toolbox (Part 1), Complete Wordpress Course Elementor, Introduction to Shell, Statistical Thinking in Python (Part2), Power BI A to Z, Introduction to SQL, AWS Essentials, Recommender Systems with Machine Learning and AI, Introduction to Python, Intermediate Python, Python for Data Science and Machine Learning, Microsoft SQL from A to Z, Natural Language Processing with Python, SQL and Database Design A to Z, Statistics for Data Science and Business Analysis, Macine Learning A-Z, Big Data with PySpark",
Software Developer / Network Technician,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Software Developer / Network Technician, Data Analyst","InternCareer, Innov8ive Software Solutions",1,"Varsity College, Varsity College","Bachelor of Computer Science in Applications Development, COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES, Bachelor of Computer Science in Applications Development, Computer and Information Sciences and Support Services",,,
BI Analyst @ Nedbank | Honours in Applied Mathematics,Durban Metropolitan Area,South Africa,,"Data Scientist trainee, Data Scientist intern, Mathematics and Physics tutor, Associate, Business Intelligence Analyst, Associate Consultant, Associate 2, Associate Strategy& Consultant","Explore Data Science Academy, Nedbank, PwC South Africa, self employed, ExploreAI Academy, Strategy&, RMB - Rand Merchant Bank",7,"University of KwaZulu-Natal, ExploreAI Academy, University of KwaZulu-Natal","Bachelor of Applied Science - BASc, Applied Mathematics and Astrophysics, Data Science, Honours in Applied Mathematics (Cum Laude), Applied Mathematics",,"SAS Programming BASE certification course for SAS Beginners, Microsoft Excel - From Beginner to Expert in 6 Hour, Comprehensive Guide to Financial Markets, Investing & Trading, Machine Learning in Python and R,  Microsoft Excel - From Beginner to Expert in 6 Hour",
Data Scientist,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Senior Data Scientist, Data Mining Analyst, Senior Data Analyst, Risk Analyst","SARS (Head office - Pretoria), rain South Africa, Derivco",20,"University of KwaZulu-Natal, University of South Africa/Universiteit van Suid-Afrika, University of KwaZulu-Natal / University of Natal, The University of Texas at Austin, The University of Texas at Austin, Brookdale Secondary School","Bachelor of Science (BSc), Computer Science and Statistics, Certificate, Neural Networks, Bachelor of Science Honours, Statistics, Postgraduate program in Machine Learning and Artificial Intelligence, Data Science, https://olympus1.mygreatlearning.com/gradesheet/WXDRFSRY, Postgraduate program in Machine Learning and Artificial Intelligence, Data Science, Matric with Distinction Pass",,"Holding Yourself Accountable, Building Dashboards with shinydashboard, Machine Learning with PySpark, Forecasting Using R, Data Wrangling in R, Sampling in R, Learning the R Tidyverse, Developing Your Emotional Intelligence, Introduction to Writing Functions in R, Communicating with Diplomacy and Tact, Supervised Learning in R: Classification, Having Difficult Conversations, Building Web Applications with Shiny in R, Manipulating Time Series in R with xts and z00, Data Visualization in R with ggplot2, Unsupervised Learning in R, Building Resilience",
Aspiring Data Scientist | BSc Honors Computer Science | BSc in Computer Science & Mathematic degree | Passionate about Machine Learning & Big Data Analysis | Eager to Translate Data into Insights with AI and ML Technique,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Professional Development  CSIR student datathon competition, Secretary, Mind Waves Mentor, Class representative","University of Zululand, Oasis Infobyte, UniZulu Computer Science Society, Council for Scientific and Industrial Research (CSIR)",2,"University of Zululand, University of Zululand, University of Zululand, Ohlange high School, University of Zululand","Bsc Computer Science and mathematics, BSc Honors in Computer Science, Computer Science, Bsc Computer Science and mathematics, 70%, Grade 12, Candidate, Bsc Computer Science and mathematics, Computer Science, in progress",,"Machine learning, Uipath document understanding, Introduction to automation, Introduction to data Science, UiPath Automation cloud, Introduction to Machine learning US, Artifical intelligence and machine learning in Business, Type of cyber security, Soft skills, Analyzing and Visualizing Data with Microsoft Power BI, UI Automation Synchronization
with Studio, Introduction to artificial intelligence, Excel for data science for beginners, UiPath Assistant, NICIS DIRISA student datathon challange, Introduction to Cybersecurity","Campus Buddy, Wine Pairings System, Biz Quality Guidance"
Data Engineer at Sand Technologies🚀 | Data Scientist | MSc. (Chem Eng) Candidate | Machine Learning & AI Enthusiast,"Durban, KwaZulu-Natal, South Africa",South Africa,,"Data Scientist, Data Engineer, Data Scientist | Facilitator, Administrator, Trainee, Technical Sales Intern, Program Manager (Data Science), Data Scientist | Head Facilitator, Head of the Western Cape GirlEng Executive Team, Associate Data Scientist, Data Scientist | Facilitator (DS), SFDA at Clarinus Village, Customer Relations Officer, Account Manager, Lifestyle Executive, Data Scientist | Head Facilitator (DE), Sales Consultant, Private Tutor, Undergraduate Research Fellow, Casual, Radio Personality, Data Scientist | Head Facilitator (DS), Temp Administrative Assistant, Laboratory and Process Engineering Intern, Student Intern, Promotional Staff, Office Administrator, Tutor, Part-Time Office Administrator, Program Manager (Data Engineering)","CENTURY 21®, WomEng (Women In Engineering), UNICHEM SERVICES LTD, SKYV Consulting Engineers Pty Ltd, IBV International Vaults, Luno, City of Cape Town Wastewater Treatment Plant, ExploreAI, INSANGU ENTERPRISES, Teach Me 2, Alpha Tutors, University of Cape Town, Sand Technologies, ExploreAI Academy, Shepstone & Wylie Attorneys, ELLORA, Cape Union Mart, SWAROVSKI, Megazone Media, UCT Radio",12,University of KwaZulu-Natal,"BSc.Eng, Chemical Engineering",,"Excel 2016: Managing and Analyzing Data, Machine Learning and AI Foundations: Recommendations, Learning Data Governance, Data Science Foundations: Data Mining, Data Engineering- Math Refresher, Statistics Essential for Data Science, Algorithmic Trading and Stocks Essential Training, Introduction to Cisco Sales - 700-150, Data Science Methodologies, Introduction to Data Analytics, IBM Blockchain Foundation Developer, Data Visualization: Storytelling, IBM Blockchain Essentials, Statistics Foundations: The Basics, Data Science & Analytics Career Paths & Certifications: First Steps, Understanding Trade Secrets: A Deeper Dive, Data Science Foundations: Fundamentals, Become a Data Scientist",
