Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
Data | BI | Python Development | Writing | Motorsport,"City of Johannesburg, Gauteng, South Africa",South Africa,,"Research Assistant, Data Science Intern, Data and Sustainability Engineer, Investment Analyst, Contributing Writer & Vehicle Testing, Data Scientist, Professional Driver, Prompt Engineer","Genisus Extreme, IN4RIDE, Masterdrive, Greendesign Africa, CAR magazine, UJ Physics - ARPES Lab, Alvin Technologies, University of Johannesburg, Decarbonise Africa, ExploreAI Academy",6,"University of South Africa/Universiteit van Suid-Afrika, University of Johannesburg, University of Johannesburg, ExploreAI Academy, ExploreAI Academy, University of Johannesburg Metropolitan Academy, Shaw Academy, University of Johannesburg, University of Johannesburg, University of Johannesburg Metropolitan Academy","Bachelor of Science - BS, Computational and Applied Mathematics, Bachelor of Science - BS, Mathematics and Computer Science, Yet to be completed., Bachelor of Science - BS, Mathematics and Computer Science, Data Science, Data Science, Data Science, Dairy Science, -, Diploma, Full-stack Web Development, Bachelor of Science (B.Sc.), Physics and Applied Mathematics, Bachelor of Science - BS, Applied Mathematics",,"AWS Certified Cloud Practitioner, DfGE Course Certificate, The Complete Flutter Development Bootcamp with Dart",
Team Lead: Data Science and Engineering at 24.com,"City of Johannesburg, Gauteng, South Africa",South Africa,Computer Software,"Lecturer, Team Lead: Data Science and Engineering, Senior Engineer, Senior Developer, Data Scientist, Technical Coordinator","University of Cape Town, 24.com, Hozi, Siyavula",17,"University of Cape Town, University of Cape Town, University of Cape Town","BSc, Geomatics, BSc (Honours), Astrophysics and Space Science, MSc, Astrophysics and Space Science, BSc, Geomatics, BSc (Honours), Astrophysics and Space Science, MSc, Astrophysics and Space Science","simulations, spectroscopy, high performance computing, python, programming, latex, gis, project planning, scientific writing, science, machine learning, technical writing, geomatics, image processing, physics, data analysis, statistics, research",edX Honor Code Certificate for Introduction to Computational Thinking and Data Science,
Data Scientist | Data Analytics,"City of Johannesburg, Gauteng, South Africa",South Africa,Information Technology & Services,"Senior Specialist: Data Scientist, Data Analyst, Reporting Analyst, Acting Manager: Business Analytics, Computer Science II Tutor, System Engineer Graduate, Organising Committee, System Engineer, Manager: Pricing and Analytics","Deep Learning IndabaX South Africa, TauLite (Pty) Ltd, MTN South Africa, The Talent Warehouse, MTN, University of the Witwatersrand, Johannesburg",10,"University of the Witwatersrand, University of Pretoria/Universiteit van Pretoria, DigitalCampus, University of the Witwatersrand, Magoza Secondary School, University of the witwatersrand, Johannesburg, University of Pretoria/Universiteit van Pretoria, Magoza Secondary School","Bachelor of Science (BSc) with Honours, Computer science, Masters in Information Technology(MIT), Big Data Science, Principles of Management, Business Administration and Management, General, 87%, Bachelor of Science (B.Sc.), Computer Science and Computational and Applied Mathematics, -, Bachelor of Science (BSc) with Honours, Computer science, Masters in Information Technology(MIT), Big Data Science","matlab, java, c++, programming, latex, leadership, teamwork, microsoft excel, microsoft office, powerpoint, customer service, coldfusion, python, oracle sql developer, research, data analysis, microsoft word, communicatin, javascript, sql, analysis, c, analytical skills",Microsoft Certified: Azure AI Fundamentals,
"God
Family
Data",Johannesburg Metropolitan Area,South Africa,,"Chief Operations Officer, Chess Instructor, Senior Data Engineer, Data Capture Specialist, Committee Member, Events Promoter, Presenter, Afritwin Programme, Chief Technology Officer, Data Engineer, Provincial Team Coach, Student, Junior Data Scientist, Senior Data Scientist, Actuarial Intern","University of Cape Town, African Chess Lounge, UCT Entrepreneurs Society, Chess Western Province, Matrix Analytics Group Africa, University of Cape Town Campus Management with Varsity Villiage, GRANDSTAN MANAGEMENT , Cape Epic & Wines2Whales under Ironman Holdings (Pty) Ltd, International Student Exchange Program, EXPLORE-AI, Comotion Business Solutions, Sand Technologies, MobiLife FSP, Jobsco Executive Services, COP17, rain South Africa, UCT Consulting Club, Bishops Diocesan College Pre-paratory, Investment Society (InvestSoc.) UCT",15,"Durban Youth Council, University of Cape Town, Northwood Boys High School, Crawford College North Coast","Councilor, HIV & Humanities, 10-11, Bachelor's in Commerce  (BCom), Statistics, Economics & Finance, NSC, 8-10, NSC & VCAA certificate, VCAA & NSC Matric Certificate, 11-12",,,
2x Graduate at Wits || Master's Student at Wits || Data Science Intern at Wits University Business Intelligence Services,"City of Johannesburg, Gauteng, South Africa",South Africa,,"Vacation Student, Data Scientist Intern","Wits Business Intelligence Services, University of the Witwatersrand Business Intelligence Services",1,"University of the Witwatersrand, University of the Witwatersrand, Lenasia Muslim School, University of the Witwatersrand, University of the Witwatersrand, ******* ****** ******, University of the Witwatersrand","Bachelor of Science Honours (Computer Science), Computer Science, 72%, Master of Science - MS, Computer Science, NSC, Mathematics, Physical Science, Accounting, Life Science, English HL, Afrikaans FAL, LO, Bachelor of Science - BS, Computer Science, 73%, Bachelor of Science Honours (Computer Science), Computer Science, ***, ***********, ******** *******, **********, **** *******, ******* **, ********* ***, **, ******** ** ******* - **, ******** *******",,,"CNN Image Classification, Probabilistic Graphical Model, Praktyk, Autonomous Robot Navigation, Space Crusaders, Research: Exploring Legend Categories and Player Success in Apex Legends using various machine learning, NLP for Swahili, Project Arena, Reconnaissance Chess Agents"
,"City of Johannesburg, Gauteng, South Africa",South Africa,Marketing & Advertising,"Senior Data Manager, Data Analytics Mentor, Social Media Research Assistant, Data Scientist Recruit, Data Analyst, DSIDE Student, Data Analyst Intern, Founder, Junior Strategist, Coder, Data Science Lead, Assistant Controller, Data Scientist, Ecommerce Analyst","Umuzi.org, Thinkful, Wunderman Thompson, Woolworths, Wunderman Applogix, Barloworld Logistics, Digital Kungfu, Forensic Restitution, The Council for Scientific and Industrial Research, WNS Global Services SA, Inclined Mark",14,"University of Cape Town, St. Matthews Private Secondary School, Umuzi, st.matthews high school","Data Science Certificate, Data Science, 12, Information technology and systems development, Information Technology","microsoft office, strategic planning, customer service, negotiation, management, social media, project management, marketing, business strategy","UCT Data SCience Course, Certificate in Information technology and system development , Certificate in Information technology and system development, Fundamentals of Digital Marketing","House Price predictor model, GitHub Project"
Data Analyst | Data Scientist,"City of Johannesburg, Gauteng, South Africa",South Africa,,"DATA ANNOTATION SPECIALIST, Data Analyst Tech Support, Data Science Intern, Data Analyst Intern, Systems development & Data Scientist, Consumer Data Management Intern, Junior Data Scientist","Explore Data Science Academy, Telkom, ASHANTI AI, Enlabeler, ExploreAI Academy",6,"University of Johannesburg, University of Johannesburg, University of Johannesburg, Explore Data Science Academy","National Diploma, Electrical and Electronics Engineering, National Diploma, Electrical Engineering (Electronics), National Diploma, Electrical Engineering (Electronics), Data Analytics Certificate, Information Technology",,"Power BI A-Z: Hands-On Power BI Training For Data  Science!, Data Analysis with Pandas and Python, Microsoft Excel - From Beginner to Expect in 6 hours, AWS Certified Cloud Practitioner, Microsoft SQL from A to Z",
Advanced Analytics | Data Science | CVM/CRM Strategist,Johannesburg Metropolitan Area,South Africa,Financial Services,"Analytical science tutor, Senior Manager II- People Insights and Analytics, Laboratory demonstator, Manager - Advanced Analytics, business and data analysis candidate, Inservice Forensic Analyst, Senior Specialist - Advanced Analytics, Modelling/Scoring Specialist, Data Scientist, Inservice trainee Forensic Analyst, Inservice trainee lab technician","WesBank, Mindworx academy, Hollard Insurance, Vodacom, Lesotho Mounted Police Service forensic laboratories, National university of Lesotho, Massmart",15,"Lesotho High School, National university of Lesotho, International Business Management Institute (IBMI), University of South Africa/Universiteit van Suid-Afrika, National university of Lesotho","Bsc Biochemical Engineering Technology, Analytical Chemistry, bioinformatics, genetics,  physics, organic and physical chemistry , Graded as Honours Degree by SAQA, Diploma, Project Management, Bachelor of Commerce - BCom, Management Sciences and Quantitative Methods, Bsc Biochemical technology, Analytical Chemistry, bioinformatics, genetics,  physics, organic and physical chemistry","glp, drug discovery, leadership, western blotting, spotfire, microsoft excel, microsoft office, powerpoint, customer service, python, elisa, sas, hplc, research, chromatography, flow cytometry, biochemistry, management, data analysis, microsoft word, project management, change management, microsoft powerpoint, data mining, pcr, sql, analysis, dna extraction, r, business analysis, protein purification, business and data analytics, protein chemistry, analytical skills","Python Data Structures, Intro to Python for Data Science, Data Robot Esentials, The Data Scientist’s Toolbox, Intermediate R, Unsupervised Learning in R, Introduction to R, Programming for Everybody (Getting Started with Python), Intermediate python For Data Science",
"Data Scientist | Aspiring Cloud Architect | Mastercard Foundation 2024 | SQL, AI & Data Science Expert | #ALXAfrica31 Women 2025 | Advocate for Diversity in Tech & Innovation","City of Johannesburg, Gauteng, South Africa",South Africa,,"Founder and Marketing Manager, Project Financial Analyst, Aviation & Travel Consultant | Seafarer & Air Stewardess Global, Master Data Administrator, Aviation & Travel Consultant, Data Scientist intern, SRI Safety Officer, Data Scientist Intern","ALX_Africa (SA), HTS n Diederichs THS, opulentedges.online, Saint-Gobain Africa, Oasis Infobyte, HTS N Diedricks, QAS Aviation Academy",6,"University of the People, South African Maritime Safety Authority, QAS Aviation Academy, University of the People, QAS Aviation Academy, ExploreAI Academy, Proactive Complaince, Grindrod Shipping Academy, QAS Aviation Academy","Bachelor of Science - BS, Mathematics and Computer Science, Maritime Studies, STCW 95 Cruise-Liner License, 89%, Aviation, International Travel & Operations Management, Bachelor of Science - BS, Mathematics and Computer Science, Aviation, International Travel & Operations Management, Computer Science/ Engineering & Technology, NQF Level 5, SRI SAFETY OFFICER, Occupational Health and Safety Consultants, South African Maritime Safety Authority (SAMSA), Maritime Studies, STCW 95 Cruise-Liner License, 89%, Diploma in Aviation, Aviation/Airway Management and Operations",,"NQF Level 5 Data Science, ALX Data Science Certification, Cabin Crew Licence, Advanced Diploma in Aviation, SRI Officer, Maritime Studies - STCW 95 Cruise-Liner License, STCW 95 Seafarer License, What is Data Science?, Artificial Intelligence in the 4IR, Excel Beginner to Pro Workshop, Unsupervised Learning",Maji Ndogo's Data Visualisation on Clean Water
Data Analyst at Standard Bank Group Internal Audit (GIA),"City of Johannesburg, Gauteng, South Africa",South Africa,,"Data Analyst, Data Scientist, Data Science Trainee, Business Analyst","Standard Bank Group, Nedbank",6,Tshwane University of Technology,"2018, Information Technology",,"CCA Spark and Hadoop Developer, Learning Hadoop, Introduction to Data Science, Microsoft Certified Azure Data Fundamentals, PCAP-Certified Associate in Python Programming, Oracle Database 12c: SQL Fundamentals",
