Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
Associate Data Scientist,Port Elizabeth Metropolitan Area,South Africa,,"Associate Data Scientist, Mathematical statistics Tutor, Data Science Graduate Intern","Rhodes University, South African Reserve Bank",4,"Rhodes University, Nkululeko Secondary Senior School, Rhodes University, University of the Western Cape","Bachelor of Science with Honours, Mathematical statistics, -, Bachelor of Science - BS, Mathematics and Mathematical Statistics, Master of Science - MS, Statistical Sciences ( with specialisation in Data Science)",,,
Data Scientist | PhD,"Port Elizabeth, Eastern Cape, South Africa",South Africa,,"Research Associate, Vice President, Senior Lecturer, Associate Lecturer, Outgoing President, Lecturer, President, Data Scientist, Head of Department: Statistics","Nelson Mandela University, Nelson Mandela Metropolitan University, South African Statistical Association (SASA), Matrix Design Group LLC, South African Statistical Association - SASA",15,"Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University","Bachelor of Science Honours (CUM LAUDE), Mathematical Statistics, (Equivalent 4.0/4.0), Masters of Science (CUM LAUDE), Mathematical Statistics, Doctor of Philosophy, Mathematical Statistics, Bachelor of Science (CUM LAUDE), Mathematical Statistics and Probability, (Equivalent 4.0/4.0)",,,"SASA 2019 Conference, SASA 2012 Conference, SASA 2022 Conference"
Data Scientist | Automation | Aspiring Fullstack Web Dev | Design | Data | Azure Certified | Kaizen,"Port Elizabeth, Eastern Cape, South Africa",South Africa,,"Configuration Analyst, Data Scientist","NTT DATA, Dimension Data",1,,,,"Microsoft Certified: Azure Fundamentals, Learn Git Course, Learn Functional Programming in Python, Microsoft Certified: Azure AI Fundamentals, Learn JavaScript for Developers, SAP S/4HANA Introduction Course, Learn Object Oriented Programming in Python Course, Python Essential Training (2018)",
Machine Learning Engineering Scientist by Day,"Port Elizabeth, Eastern Cape, South Africa",South Africa,,"Machine Learning Engineer, Student Assistant, Data Scientist","Spatialedge, Nelson Mandela Metropolitan University, Nelson Mandela University",6,"Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University, Hoërskool Framesby, Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University","Honours Degree, MATHEMATICS AND STATISTICS, Cum Laude, Master of Science - MS, Statistics, NSC Matric, Bachelor's degree, MATHEMATICS AND STATISTICS, Cum Laude, Bachelor's degree, Mathematics and Statistics, Cum Laude, Honours Degree, Mathematics and Statistics, Cum Laude",,,
Business Intelligence Analyst @ MTN South Africa,"Port Elizabeth, Eastern Cape, South Africa",South Africa,Professional Training & Coaching,"Business Intelligence Analyst, Intern, App Developer, Data Science Intern, Business Intelligence Developer, Data Science Graduate, Vacation Student, Junior Data scientist, Junior Data Scientist","Council of industrial scientific research (CSIR), Simfy Africa, Nimble Group (Pty) Ltd, Accenture, Council of Scientific and Industrial Research, Council for Scientific and Industrial Research (CSIR), MTN South Africa, CSIR, Angels Resource Centre",8,"Sol Plaatje University, Sol Platjee University","Bachelor's degree, BSC in Data science, Bachelor's degree, BSC in Data science",,,
Data & Business Intelligence Professional | Data Analyst | Data Scientist,"Port Elizabeth, Eastern Cape, South Africa",South Africa,Information Technology & Services,"Head of Business Intelligence, IT Supervisor, Director, Senior Software Developer, Project Consultant - Systems developer, Data Analyst, Systems Developer, Web Developer, Business Intelligence Developer, Software Developer, Data Scientist, Senior Data Analyst, Research Assistant","Business Connexion, emediaIT, Ramp, Actualise, Algoa Bus Company, Kohort, Block & Code, Nelson Mandela Metropolitan University, Spec-Savers SA, Hybrid Development, Leadhome",18,"Nelson Mandela University, Nelson Mandela University, Nelson Mandela Metropolitan University, Grey High School, PE Technikon, Grey High School, PE Technikon","BSc, Physics, Mathematics, BSc Honours, Physics, BSc, Physics, Mathematics, -, -, BSc, Physics, Mathematics","programming, data analysis, jquery, c#, integration, mysql, sdlc, web development, .net, asp.net, uml, java, oop, iis, mvc, project management, sql, asp.net mvc, databases, architecture, wpf, t-sql, visual studio, wcf, web applications, crystal reports, agile methodologies, systems analysis, web services, visual basic, qlikview, winforms, javascript, software development, testing, software, xml, linq, php, microsoft sql server, soa, visual basic .net (vb.net), .net framework, architectures, database design, css, html 5, qlikview development, scrum, vb.net",,
Data Scientist (Advanced Analytics) at DSV,"Port Elizabeth, Eastern Cape, South Africa",South Africa,Logistics & Supply Chain,"Predictive Analytics Manager, Senior Data Scientist (Advanced Analytics), Predictive Analytics Manager, Inventory Optimisation, Supply Chain Innovation, Demand Planning Manager, Part time Lecturer, Senior Advisor, IO Demand Planning, Supply Chain Innovation, Demand Planner, Predictive Analyst, Data Engineering Team Lead (Inventory Optimisation)","UTi Worldwide, Nelson Mandela Metropolitan University, DSV - Global Transport and Logistics",13,"Nelson Mandela Metropolitan University, Grey High School, Nelson Mandela Metropolitan University, Nelson Mandela Metropolitan University","Masters of Commerce, Statistics, Matric, Bachelor of Commerce (B.Com.), Economics and Statistics, Bachelors Commerce (Honours), Statistics","pricing, management, business analysis, microsoft excel, continuous improvement, business process improvement, 3pl, analysis, supply chain, warehousing, operations management, process improvement, logistics, inventory management, forecasting, demand planning, warehouse management, supply chain management",,
Principle Clinical Data Scientist at Syneos Health,Port Elizabeth Metropolitan Area,South Africa,Pharmaceuticals,"Receptionist, committee member, Data Team Lead, Senior Data Team Lead, Lodge Coordinator, Principle Clinical Data Scientist, Senior Project Data Manager","IQVIA, Protea Hotel Bloemfontein, Syneos Health, Community Policing Forum (CPF), Lalibela Game Reserve, Quintiles",22,"Society of clinical data  managers, SCDM, C &N Oranje high school for girls, CTI, Olive Chef School, Barnett Education Services","Certificate, Clinical data management, CCDM, Clinical  Data Management, pass, High School, High School/Secondary Diplomas and Certificates, 12, Basic Computer Skills certificate, Computer, Hotel management diploma, Hotel management, Certificate - Good Clinical Practice for Administrative Support Staff, Good Clinical Practice for Administrative Support Staff","oracle clinical, edc, ich-gcp, regulatory submissions, clinical data management, clinical trials, ctms, data management, risk management, project management, oncology, oc rdc, cro, protocol, sop, outstanding time management skills, pharmaceutical industry, gcp, clinical research",,
Supply Chain Optimization Lead at Aspen Pharmacare | Process Engineer,"Port Elizabeth, Eastern Cape, South Africa",South Africa,,"Supply Chain Optimization Lead, Supply Chain Data Scientist, Engineering Graduate Trainee, Research Assistant, Global Graduate Management Trainee: Operations","BASF, University of KwaZulu-Natal, BAT, Aspen Pharma Group",6,"Wits Business School, University of KwaZulu-Natal, Mountview Secondary","Future Leaders Development Programme, Organizational Leadership, A, BSc (Honours) Chemical Engineering, Chemical Engineering, Senior Certificate, A",,,
,"Port Elizabeth, Eastern Cape, South Africa",South Africa,,"Programmer, Online English Teacher, Data Scientist","freeCodeCamp, Preply, Orcawise",5,"The TEFL Academy - Leading EFL Teacher Trainer Provider, Google Creative Campus, THE TEFL ACADEMY - Leading EFL Teacher Trainer Provider, freeCodeCamp, IBM Data Science Specialization, Netwon Technical School, Newton Technical Highschool","Teacher Education and Professional Development, Specific Subject Areas, -, Teaching English as a Second Foreign Language, Computer Science with Python, Data Analysis, Machine Learning, IBM Data Science, -, Associate's degree, Mechanical Engineering, Physical Science and Maths, Grade 12",,"Data Analysis with Python, Data Visualization with Python, IBM Data Science Specialization, Neural Networks and Deep Learning, Machine Learning Crash Course, Data Science Methodology, Python Project for Data Science, Data Science Orientation, Machine Learning with Python, Databases and SQL for Data Science with Python, Applied Data Science Capstone, Scientific Computing with Python, Tools for Data Science, What is Data Science?, Python for Data Science and AI",
