Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
Data Scientist | Data Analyst | Data Viz | Python | Machine Learning,"Polokwane, Limpopo, South Africa",South Africa,,"Learning Facilitator, Computer Science Laboratory Assistant, Data Scientist, IT Security and Robotics Consultant, Computer Science Lab Supervisor, Data Analytics and Power BI, Cloud Computing, Community Ambassador, Cloud Computing Intern","Sanctus Consulting, Regen Institute, University of Limpopo, Heavy Chef (Pty) Ltd, Deviare, ExploreAI",6,"University of Limpopo, ExploreAI Academy, University of Limpopo, Taxila Secondary School","Computer Science Student, Applied Mathematics and computer science, Data Science, Computer Science Student, Applied Mathematics and computer science, Science Stream and Accounting",,"AWS Certified Cloud Practitioner, Huawei certified ICT Associate - AI, Big Data Engineer v2 Mastery Award for Students (2018), AWS Fundamentals: Going Cloud-Native, Digital Marketing 101, Cloud Computing Basics, Microsoft Azure Fundamentals, Microsoft Certified: Azure Fundamentals, Business Analytics with Excel",
Researcher Scientist | Database Engineer | ISO/IMS Auditor,"Polokwane, Limpopo, South Africa",South Africa,,"Research scientist, Junior Database Administrator, Data Scientist, Data management, Senior Associate  Database Administrator, Database Administrator, Associate II Database Administrator, Researcher, Junior data scientist, Senior /Associate II  Database Administrator, Data Science Intern, Data Engineer trainee, Associate II Database administrator, Database Engineer","S&P Global, Council for Scientific and Industrial Research (CSIR), BCX, University of Limpopo, Wits Health Consortium, IHS Markit, Deviare, Explore Data Science Academy, ExploreAI, Coursera",5,"South Africa-Netherlands Cyber Security School 2024, ExploreAI Academy, Cyber security institute, University of Limpopo, University of Limpopo, University of Limpopo, ********* *******, ********** ** *******, S&P Global, University of Limpopo, ExploreAI Academy, University of Limpopo, Deviare, S&P Global Intellegence, University of Limpopo, Explore Data Science Academy, Huawei ICT Academy, University of Limpopo, Explore Data Science Academy, University of Limpopo","Certification, Cyber security, National certificate, Information Technology, 84, Certification, Cyber security, BSC Mathematical science, Mathematics and Computer Science, Completed, BSC Honors, Computer Science, completed with distinctions, Master's degree, Computer Science, Msc 2nd year, -, NQF level 5 Certificate, -, -, -, -, BSC Mathematical science, Mathematics and Computer Science, Certificate, data science, BSC Honors, Computer Science, Data and Artificial intelligence, Data Science, NQF level 5 Certificate, Diploma, Code Of Business Ethics, Bsc Mathematical science, Mathematics and Computer Science, Certificate, data science, Big data certificate, Big data, Bsc Mathematical and Computer science, Computer Science, data science certificate, Computer Science, HONOURS DEGREE(COMPUTER SCIENCE), Computer Science",,"AWS Certified Cloud Practitioner, TOGAF® 9 Combined level 1 and level 2 training course, Python Project for Data Engineering, Databases and SQL for Data Science, Big data, Cyber Security fundation, Relational Database Administration Essentials, HCIA Big data, Integrated Management System Auditing",
Junior Data Analyst  | Junior Data Scientist | Statistical Analysis | Machine Learning | Storytelling | Problem Solving,"Polokwane, Limpopo, South Africa",South Africa,,"Data Analyst, Data Scientist","Deviare, ExploreAI Academy",2,"University of Limpopo, University of Limpopo, ExploreAI Academy","Bachelor of Science, Statistics and Computer Science, Honours in Science, Statistics, Data Science",,"Power BI, Introduction to Data Analytics",
HR Support| Data Analyst,"Polokwane, Limpopo, South Africa",South Africa,,"Human Resources Payroll Administrator, Data Science Intern, Data Scientist","VOIMAR, BCX",3,"University of Limpopo / Universiteit van Limpopo, North-West University / Noordwes-Universiteit, North-West University / Noordwes-Universiteit, ExploreAI Academy, North-West University / Noordwes-Universiteit","Bachelor's degree, Mathematics and Computer Science, Incomplete, Bcom in Accounting, Accounting, Incomplete, Bcom in Accounting, Accounting, Higher Certificate, Information Technology System Development,Data Science, A, Financial Accounting, Acounting",,"Foundations: Data, Data, Everywhere, BCX Crossboarding_Placement Internal",
"PhD Scholar | MSc tMathematical Sciences | BSc Hons in Statistics | Microsoft Certified Azure Data Scientist Associate | Aspiring Data Scientist, Data Engineer and Business Analyst | Quant","Polokwane, Limpopo, South Africa",South Africa,,"Junior data scientist, Intern, Internship Trainee","Mercedes-Benz South Africa, Netcampus Group, InternCareer",2,"North-West University / Noordwes-Universiteit, University of Cape Town, University of Venda","Doctor of Philosophy - PhD, Business Statistics, Master of Science - MS, Mathematics, BSc Hons in Statistics, Statistics",,"CertNexus, Data Visualization with Python, Microsoft Certified: Power BI Data Analyst Associate, Microsoft Certified: Azure Data Scientist Associate, Python for Data Science, AI & Development, What is Data Science?, Microsoft Certified: Azure Data Engineer Associate","Natural Language Processing (NLP)  and Computer Vision Project Projects, Limitations of Conversational agents for statistical analysis, Variable selection in multiple regression : An application to the determinants of life expectancy, Handling Imbalanced Data in Anomaly Detection"
Data Scientist at mokopane hospital,"Polokwane, Limpopo, South Africa",South Africa,,"manager, Data Scientist","mugwena construction, mokopane hospital",3,,,,,
Data Engineer | Data Scientist | Data Analyst,"Polokwane, Limpopo, South Africa",South Africa,,"Junior Data Engineer, Data Scientist Contractor, Graduate BI Developer/Data Analyst/ Data Scientist, Data Engineer, Business Intelligence Analyst, Co-Founder, Student","KEDT Analytics, Sasfin, Woolworths Financial Services, Council for Scientific and Industrial Research (CSIR), McKinsey & Company, Sasfin Bank",6,"University of Limpopo, University of Limpopo, University of the Witwatersrand, University of Limpopo","BSc(Mathematical Science), MATHEMATICS AND STATISTICS, Honours degree, Statistics, MSc, e-Science (Data Science), Science, BSc(Mathematical Science), Mathematics and Statistics",,Microsoft Certified: Power BI Data Analyst Associate,
Data Scientist | Data Analyst | Operations Manager | Data Manager,"Polokwane, Limpopo, South Africa",South Africa,Facilities Services,"Data Scientist, Computer Science Lab Assistant, Data Manager, Operations Manager, Data Analyst and Research Assistant, Operations Manager intern, Research Assistant, PowerBI Data Analyst","Arrow Marketing and Sales, BCX, University of Limpopo, Deviare, KISUA Africa",7,"University of Limpopo, University of Limpopo, ExploreAI Academy, ExploreAI Academy, University of Limpopo, Deviare","Bsc ( Mathematical Science ), Statistics and Operations Research, Honours Science (Statistics), MATHEMATICS AND STATISTICS, Data Science, Data Science, Data Science, Data Science, Honours Science (Statistics), Mathematics and Statistics, Data Analytics and Power BI, Data analytics and PowerBI",,,
New Graduate  from university of limpopo  (bachelor of development Studies ). Data science Student at Deviare,"Polokwane, Limpopo, South Africa",South Africa,,"Raise drillinhg Assistant, Data Scientist","Deviare, Murray & Roberts Cementation, Data Science Student",6,"University of Limpopo, University of Limpopo","Development studies, Development Economics and International Development, Development studies, Development planning and management",,"Statistics Essentials for Data Science, Core java, Data Science with Python, Introduction to Big Data and Hadoop, SAS Certified Base Programmer for SAS 9 (CBP), Programming with Python 3.X, data science with R, Machine Learning Advanced Certification Training, Data science with SAS, Analyzing and Visualizing Data with Microsoft Power BI, Tableau Desktop 10, Big Data Hadoop and Spark Developer",
Software Developer,"Polokwane, Limpopo, South Africa",South Africa,Civic & Social Organization,"Developer and Deputy Leader of Coding, Software Developer- Tech Lead, Hackathon | Project Lead, Managing Director, Research Project Lead, Project Lead Developer, Google Africa Developer Scholarship Mentor, Data Science Trainee, 4IR Ambassador, IT Consultant, Software Engineering Lead, C# Developer, Member, Director |  Co-Founder, Contributor, Data Scientist Trainee, 4IR Provincial Coordinator | Project & Research Lead, Software Developer - Tech Lead, learner, Data Science trainee, Enumerator, Hackathon | Data Scientist, Software Developer, Software Developer-Tech Lead, IT Officer, Frontend Developer, Android Development Mentor, Data Scientist, Hackathon | Developer, Marking Assistant, Volunteer","Water Research Commission, GitHub, Youth ICT Council, Self employed, Geekulcha, Deviare, R-Dev, NEMISA, Then Code, Statistics South Africa, Edtek Solutions, National Youth ICT Council, Enactus UL, YSI - Young Sustainable Impact, Department of Basic Education, Andela, PBICT Gauteng, Net, Enactus Limpopo, InterCodex, seshigo high school, KINTELLIGENCE LTD",9,"Seshigo high school, University of Limpopo, Simplilearn Alumni, University of South Africa/Universiteit van Suid-Afrika, Tshwane University of Technology, University of South Africa/Universiteit van Suid-Afrika, Simplilearn Alumni, Udacity, Google Africa Developer Scholarship, MTN Business App Academy, Huawei Global Training Center, Huawei ICT Academy, Coursera, MTN Business  Academy, Udacity, MTN Business  Academy, Coursera, Simplilearn Alumni, MTN Business Academy, Google pour les pros, Simplilearn Alumni, Simplilearn Alumni, IBM, University of Limpopo, Seshigo high school, Seshigo high school, Seshigo high school","National Senior Certificate, Maths and science, BSc Mathematical Science, Data Science & Business Intelligence Masters Program, Diploma in Information Technology, Software Development, Advanced Diploma in Computer Science, Information Technology, Software Development, React.JS, AWS Machine Learning, Android Development, Android Development with Kotlin, -, Artificial Intelligence, Web Applications, Android Development with Java, Artificial Intelligence, Software Development, Software Development, Data Science & Business  Intelligence Masters Program, Android, Full Stack Software Development, Data Science Masters Program, Data Science & Business Intelligence, Data Science ,AI & IOT, Bachelor science in Mathematical science, Mathematics and Computer Science, Bachelor's degree, Maths and science, Bachelor science in Mathematical science, Mathematics and Computer Science, Bachelor's degree, Maths and science, 10, , Maths and science, 10","windows, javascript libraries, jquery, linux, javascript, artificial intelligence, css, php, project management, sql, software development, java, html, c++, microsoft office, mysql, xml, programming, strategic planning, management, research, bootstrap, microsoft excel, web developing, customer service, c#, business process improvement, python, intelligence analysis, microsoft powerpoint, html5","Designing and Implementing a Server Infrastructure - 70-413 t, Core Java, Statistics Essentials for Data Science, Certification of Competency in Business AnalysisTM(CCBA®) Certification, Google Android Developer, Data Science Capstone, Data Science with Python,  Apache Cassandra, Data Science with SAS Training, Polokwane mayor's debate, React.js, CompTIA Security+, AWS Technical Essentials, Diploma in Cyber Security, Python & Cryptocurrency, Impala- SQL Engine for Hadoop, Software Estimation , Software Estimation, Django, Apache Cassandra, Data Science with R, Database MYSQL Concepts, Programming with Python 3.X, Build 6 Real World MYSQL Database Management Projects 2022, Internet of Things Intro, Web domain & Hosting,  Designing and Implementing a Server Infrastructure - 70-413 t, Big Data Hadoop and Spark Developer, GIT, Artificial Intelligence Intro, PMI-RMP® Certification Course, Using Gmail, Tableau Desktop Qualified Associate Certification, Introduction to Big Data and Hadoop, Certified SAS Base Programmer, Building SMS Verification with Login system using PHP & MYSQL, Machine Learning Advanced Certification Training, Analyzing and Visualizing Data with Microsoft Power BI","Library Management System, FIFA WORLD CUP, Tuning Classifier Model with XGBoost, Comparative study of Countries, IMF Commodity Price Forecast, Customer Service Requests Analysis, Book Rental Recommendation, Customer Analysis, Municipality Water Tracking Dashboard, Bathopele Project for Public Health, Clocking System, Coronavirus (covid-19) SA Live Dashboard , Health Insurance Cost, MOBILE APPLICATION DEVELOPMENT, Clustering Image Data, Employee Clocking System, Building user-based recommendation model for Amazon, Sales Performance Analysis, Coronavirus (covid-19) SA Live Dashboard, Department of Health Hospital Management System, Predict Future Sales, Coronavirus Forecasting(Tableau), WEB DEVELOPMENT, Simplifying Cancer Treatment, SA ICT Survey Data Analysis, Fare Prediction for Uber., Mercedes-Benz Greener Manufacturing, Department of Basic Education Budget  Data analysis, Titanic: Machine Learning from Disaster:, Academic Records Management System, School Management Dashboard, Classify Kinematic Data, Peer to Peer Lending platform with react native, Storing Test Results, House Prices Prediction, Diabetes Blindness Detection, Healthcare cost analysis, Coronavirus Data Analysis, Client Reports Application System, Phishing Detector with LR, Comcast Telecom Consumer Complaints, DigiTech, California Housing Price Prediction, Employee Management System, 2021 Local Government Election Voting System, Capricorn District Municipality Water Managent System, Amazon.com - Employee Access., Apple Stock Price Prediction"
