Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
EA to the CEO,"Pretoria, Gauteng, South Africa",South Africa,Management Consulting,"Manager: Business Data Analytics, Executive Assistant to Chief Executive Officer, Manager: Business OUTsurance Data Analytics, Data Analyst Team Manager, Actuarial Analyst, Healthcare Actuarial Consultant, Consultant, Data Scientist Team Manager, Actuarial Consultant, Actuarial Health Analyst","RX Group of Companies, Deloitte South Africa, Rx Health (Pty) Ltd, OUTsurance",10,"University of Pretoria/Universiteit van Pretoria, Actuarial Society of South Africa, University of Pretoria/Universiteit van Pretoria, Hoërskool Klerksdorp, Actuarial Society of South Africa, University of Pretoria/Universiteit van Pretoria","Bachelor of Science - BS, Actuarial Science, Student Member, Bachelor of Science - BS, Actuarial Science, National Senior Certificate, Matric, Student Member, Bachelor of Science - BS, Actuarial Science",,,
BI Developer | Data Scientist | Aspiring Author,"Pretoria, Gauteng, South Africa",South Africa,Financial Services,"Conditioning Specialist, Conditioning Coach, BI Analyst Developer, Assistant Researcher, Owner, Content Strategist, Independent Broker, Sole Member, Independent Adviser, Guest Sport analyst (blog column) during the 2010 FIFA World Cup, Financial Advisor, Business Intelligence Analyst, DATA SCIENTIST, (INDEPENDENT CONTRACTOR), Franchise Consultant, Market Research Analyst, Old Collegian, Business Intelligence Developer","Brainnest, MyBIGshort.com, Instacom South Africa, Hereford GroupFocus, Liberty Group South Africa, Hampshire Independent Advisors, Regal Financial Services (FSP 14088), MCOBA, Regal Financial, Liberty, Mind drives Performance (MDP) CC, Going Solo, SSISA, SuperSport, CWTC, Hereford Coastal Wealth Solutions, TWK Agri",25,"University of Cape Town, University of Pretoria, University of Port Elizabeth, University of Stellenbosch Business School, University of Cape Town, University of Pretoria/Universiteit van Pretoria, University of Cape Town, Stellenbosch University, University of Pretoria/Universiteit van Pretoria, Stellenbosch University/Universiteit Stellenbosch","BSc (Med) Hons, Biomedical Sciences, General, MA (MBK), Applied Sciences, Incomplete, BSc, BioChemistry; Human Physiology, NQF6 Advanced Certificate in Financial Planning, Business/Managerial Economics, BSc (Med)Hons Exercise Science and Sports Medicine, Data Science, BioStatistics, Research Methodology, Distinction, MA (MBK), Applied Sciences, Incomplete, BSc (Med) Hons, Applied Sciences, Cum Laude, NDip Bus, Wealth Managment, MA (MBK), Applied Sciences, NDip Bus, Wealth Managment","insurance, financial advisory, training, wealth management, new business development, business strategy, negotiation, risk assessment, project planning, financial services, finance, project management, budgets, retirement, sales management, consulting, microsoft office, team leadership, sales, financial modeling, coaching, retirement planning, financial analysis, management, healthcare, management consulting, investments, crm, marketing strategy, short term insurance, risk analysis, change management, marketing, entrepreneurship, mergers & acquisitions, powerpoint, strategy, portfolio management, analysis, strategic financial planning, risk management, business planning, forecasting, strategic planning, research, financial risk, customer service, financial reporting, business analysis, performance management","Learn SQL Course, Learning Data Analytics, Getting Started with Bard, Google’s Experimental AI, Power BI Data Modeling with DAX, GitHub for Data Scientists, Time Management Fundamentals, Social Success at Work, Professional Networking, Writing Customer Service Emails, Software Architecture: From Developer to Architect, WordPress 5 Essential Training, WordPress 5 Essential Training: Site Administration, Data Science with Python, Time Management Fundamentals with Microsoft Office, Developing Your Emotional Intelligence, Basic Portugués, Sales Pipeline Management, Building a Small Business Website with WordPress, Choosing a Cloud Platform for Developers: AWS, Azure, and GCP, SQL for Data Analysis, IAB Digital Marketing and Media Foundations Certification, Advanced Microsoft Power BI, Case Study: Visualize Complex Microservice Data Using Python, Time Management: Working from Home, SEO Foundations, Agile: It's Not Just for Software, How to Organize Your Time and Your Life, Financial Accounting Foundations, Artificial Intelligence Foundations: Thinking Machines, Mastering Common Interview Questions, NQF6 Financial Planning, Being Positive at Work",
Helping growing businesses scale their revenue with AI voice agents that handle routine operations around the clock.,"Pretoria, Gauteng, South Africa",South Africa,,"Digital Marketing Specialist, E-Commerce Email Copywriter, Data Scientist, Founder","Pangea Copy, Exousia AI, Isazi, Fourth Planet Media",3,"Crawford International, University of the Witwatersrand","8-12, Bachelor of Science - BS, Computer Science",,"2018 Top Achiever Award, Member of Golden Key Society, Top 1% of learners in Grade 11 IeBT Mathematics, Toastmasters",
Data Analyst| Data Scientists | Data Engineer |Business Analyst| Machine learning| BI Analyst| Developer |,"Pretoria, Gauteng, South Africa",South Africa,,"Data Scientist, Data Analyst, Data Entry Specialist, Data Scientist | BI Developer, Business Intelligence Analyst","Top Image Africa Limited, Statistics South Africa, Technologia Group",3,"Bokgoni technical secondary school, University of South Africa/Universiteit van Suid-Afrika, Tshwane South College, University of South Africa/Universiteit van Suid-Afrika","Grade 8 - Grade 12, Bsc Mathematics and Computer Sciences, N6 National Certificate, Engineering Studies, Higher Certificate Mathematics and Statistics",,"Microsoft Excel: Data Visualization, Excel Charts & Graphs, Microsoft Power BI Desktop for Business Intelligence (2023), Learning R, Excel: Managing and Analyzing Data, Data Analysis with Python, Getting Started with Power BI, Tools for Data Science, Foundations: Data, Data, Everywhere, Certified Analytics Professional (CAP) Cert Prep: Domains 5–7, What is Data Science, Data Analysis and Presentation Skills: the PwC Approach Specialization, Python for Data Science, AI & Development, Supervised Machine Learning: Regression and Classification, Ask Questions to Make Data-Driven Decisions, Machine Learning Foundations: Linear Algebra, Excel Basics for Data Analysis, Machine Learning Foundations: Calculus, AWS Cloud Technology Consultant Specialization, Microsoft 365 Fundamentals Specialization, Databases and SQL for Data Science with Python (with Honors), Microsoft Power BI Data Analyst Specialization, Data Visualization and Dashboards with Excel and Cognos, Google Data Analytics Specialization, Data Science Methodology, AWS Educate Introduction to Cloud 101, Google Business Intelligence Specialization",
ML Engineer | Building AI Apps on Azure Cloud | MIT - Big Data Science (NLP)🎓 | Team Leader @ RihoneGroup,"Pretoria, Gauteng, South Africa",South Africa,Information Technology & Services,"Electrical Engineering Mentor, Assitant Electrical technician, Data Scientist, Electrical Systems Engineer In Training, Vacation Student, RAN Engineering Intern, Software Engineer, Masters Student, Vacation student - Data Science for Impact and Decision Enablement (DSIDE), Private Tutor, RAN ENGINEER(  RSSA Intern ), Freelance Developer, Programming | Math | Data science tutor, Electrical Systems Engineer, Final Year Electrical Engineering Student, Academic Tutor","Peculia.xyz, Eskom Group Technology Division, TD NEW LOOK CONSTRUCTION CC, WSP in Africa, Peculia.dev, BBD, Standard Bank Group, CSIR, Self-employed, Data Science for Social Impact Research Group, Independent, University of Cape Town, Ericsson, Eskom Holdings SOC Ltd",14,"University of Pretoria/Universiteit van Pretoria, Mbilwi Secondary School, University of Cape Town, University of Pretoria/Universiteit van Pretoria, University of Cape Town","Master Of Information Technology - Stream C (Big Data Science), Information Technology, Nsc, Maths and Science, BScEng(Hons), Electrical Engineering, Master Of Information Technology - Stream C (Big Data Science), Information Technology, BScEng, Electrical Engineering, 3rd Year","personal development, advanced excel, sqlite, teamwork, adaptability, microsoft word, c, interpersonal skills, inspection, group work, engineering, python, microsoft office, php, power system design,analysis and control, node.js, django, microsoft powerpoint, android studio, microsoft excel, 4g, power systems, fl studio, web applications, electrical engineering, 3g, basic html, computing skills, ajax, powerpoint, angularjs, switchgear, music production, javascript, mobile applications, data science, sports, artificial intelligence, 2g, matlab, research, customer service, e-learning, programming, java, microcontrollers, leadership","Microsoft Certified: Azure AI Engineer Associate, Python For Data Science And Machine Learning Bootcamp, AWS Certified Machine Learning – Specialty, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Fabric Analytics Engineer Associate, Microsoft Certified: Azure AI Fundamentals, ASP.NET Core: Test-Driven Development, Natural Language Processing in TensorFlow, Amazon Web Services Cloud Practitioner, Microsoft Certified: Azure Data Engineer Associate, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Data Scientist Associate, Microsoft SQL Server 2019 Essential Training, HTLM5 Mastery - Front-End Mobile And Desktop Web Development, Angular: Building Large Applications, Golden Key International Honour Society",
Machine Learning Engineer | Discovery Bank,"Pretoria, Gauteng, South Africa",South Africa,,"Consultant in Data Analytics | Risk advisory, Junior consultant in Data Analytics | Risk Advisory, Watercraft Service and Modification Intern, Denel Dynamics Intern, Machine Learning Engineer, Senior Data Science Consultant in Data Analytics | Risk advisory, AGV Engineering Intern, Junior RA Analytics Consultant, Engineering Tutor, Engineer Internship, CMTI Consulting Intern, Data Scientist in Digital Solutions | Risk advisory, Data Science Consultant in Digital Solutions | Risk advisory","Deloitte, 123tutors, Discovery Limited, CMTI Consulting & CMTI Mining Manufacturing, WPS Powersport, Denel Dynamics, University of Pretoria/Universiteit van Pretoria, AGV ENGINEERING",8,"Pretoria Boys High School, University of Pretoria/Universiteit van Pretoria, University of Pretoria/Universiteit van Pretoria","Grade 8-12, Bachelor's degree, Mechanical Engineering, Cum Laude, Bachelor's degree, Mechanical Engineering",,"Business 360 Foundation Level Series, Cloud Lakehouse Data Management Foundation Series, Microsoft Certified: Azure Data Engineer Associate, Microsoft Certified: Azure Fundamentals, Data Governance & Privacy Foundation Series",
MSc (Eng) Candidate | Data Scientist at the CSIR,"Pretoria, Gauteng, South Africa",South Africa,,"Candidate Engineer, Data Scientist, Candidate Control and Automation Engineer, Vacation Student, Control System Engineer, Junior Software Engineer, Candidate Contol, Instrumentation and Automation Engineer, Special Projects Research Engineer, Special Projects Engineer, Candidate Control Systems Engineer, Academic Tutor, Software Developer","iThemba LABS, Proconics, BBE Group, Joburg Centre for Software Engineering (JCSE), Council for Scientific and Industrial Research (CSIR), Syntell (PTY) Ltd., Goodie Tutors SA, GOODIE TUTORS, Sedna, Syntel, Sedna Inc, Johannesburg Centre for Software Engineering, rain South Africa",10,"Jane Furse Comprehensive School, Wits and UNISA, University of the Witwatersrand, University of the Witwatersrand, University of the Witwatersrand and UNISA, University of the Witwatersrand, University of the Witwatersrand, Jane Furse Comprehesive, University of the Witwatersrand","Matric, Science Stream, Bachelor of Science - BSc, Physics and Applied Mathematics, BSc (Hons) Engineering Electrical:Information Engineering, ENGINEERING, MSc Engineering - (Artificial Intelligence), ENGINEERING, Bachelor's degree, Physics and Applied Mathematics, Bachelor of Science, BSc Electrical Engineering, (with Information Engineering), Master's of Science, MSc Engineering (Aritificial Intelligence), Engineering Management By Research, Matric, Maths and Science Stream, Master's of Science, MSc Engineering (Engineering Management) By Research, Artificial Intelligence",,,
Data Analyst | Experience in data warehousing and ETL | Specialist in data visualization | making data drive your success,"Pretoria, Gauteng, South Africa",South Africa,,"Data Scientist, Bartender, Data Analyst, Construction Assistant, Junior Data Engineer","Kaelo, various, Rex maintanance and construction, King Price Insurance",10,"Pearson Institute, Eduvos","Higher Certificate in Information Technology, Computer Systems Networking and Telecommunications, Bachelor of Science - BSc, Information Technology",,,
Salesforce Trailhead All Star Ranger| 3x Salesforce certified | 20x Salesforce Superbadges |BSc in Information Technology (cum laude) | BSc Hons Data scientist,"Pretoria, Gauteng, South Africa",South Africa,,"Program Engineer, Full stack developer | Salesforce Developer, Developer / Data analyst / Data scientist, Golden Key International Honour Society, Software Developer","Golden Key International Honour Society, Owethu Managed Services (OMS), Absa Group",3,"Pearson Institute, Eduvos","Bachelor of Science - BS, Information Technology (with Distinctions), Information Technology, A+ (Cum laude), Bachelor of Science with Honours - Information Technology, Data Science (with Distinctions), A+",,"Salesforce Administrator, Google Cloud Platform Certificate, AngularJS, Microsoft Excel 2016 Introductory, Apache Cassandra, Basic AWS Architecture, Salesforce Five Star Ranger, SQL Programming Basics, Dart Intermediate, Microsoft PowerPoint 2016 Introductory, Salesforce Platform App Builder, Introduction to Google Cloud Platform, Salesforce Certified Platform App Builder, Spark and Hadoop, Business Analytics with Excel, Machine Learning, Salesforce All Star Ranger, Salesforce Apex-Triggers, Email Service, Batch Process, salesforce Certified Business Analyst, Introduction to PostgreSQL Databases, Salesforce Four Star Ranger, Postman Testing for OAuth Authorization & Authentication, Statistics / Data Analysis in SPSS: MANOVA, Spotfire, C#, Data warehouse ETL Testing and Data Quality Management, AWS Business Essentails, POPIA FOR SMME, Data Science with R programming, Salesforce Developer Training with real-time Project, Salesforce Triple Ranger, Jenkins: Beginner To Professional, SwiftUI Navigation API, Ruby Programming, Executing Briefing: Artificial Intelligence (AI), SAP Simplified For Absolute Beginners, Apache Kafka Series: Kafka Cluster Setup & Administration, Ultimate Rust Crash Course, PowerBI Zero To Hero, OpenAI & ChatGBT API's: Expert Fine-tuning for Developers, Microsoft Access 2016 Introductory, Introduction to AWS, Google Cloud Professional Data Engineer, SAP ERP Fundamentals, Salesforce Certified Administrator (SCA), Snowflake Cloud Data Warehousing-Basics to Advanced concepts, Apache Kafka Series: Kafka Streams For Data Processing, Microsoft Word 2016 Introductory, Tableau for Business analytics and marketing, Salesforce Certified Platform Developer I, Introduction to MongoDB",
,Pretoria Metropolitan Area,South Africa,Marketing & Advertising,"Data Management Specialist, Chief Digital Officer, Chief Data Officer, CDO, Chief Data Scientist, Project Coordinator, Data Analyst, Database Administrator, Director, Chief Digital & Data Officer (CDO)","FNB South Africa, HDS Bentley Acoustics, HDS Global SA, HDS Global USA, Microsoft, High Definition Systems Global, Chiief, Publishared, Sasol, Chiief (Pty) Ltd",20,University of the Witwatersrand,"Bachelor of Business Administration - BBA, Business Administration and Management, General",,,
