Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects
"Founder NumberBoost, AiSupervision (YC W22)","Cape Town, Western Cape, South Africa",South Africa,,"Founder, CTO, Technical Lead, Quantitative Analyst Intern, Research Director, Founder, Founder, CEO, Co-Founder, CTO, Co-founder, CTO, Quantitative Analyst & Data Architect, CTO, Co-founder, Founder, Quantitative Analyst & Data Engineer, Data Scientist, Head of Data Science, Co-founder, Chief Technology Officer, Independent Developer, Founder, Head of Data Science, Founder & Head of Data Science, Co-Founder","Ethereum, NumberBoost, VoiceExtract, LGBT Foundation, Mergence Investment Managers, Sebenz.ai, sebenzai, AISuperVision, AiSupervision (YC W22), Unite.community, DocumentExtract, Connected Knee, Superbalist.com, AppSmash, sebenz.ai, Qualitas Technologies Pvt Ltd, Playback",13,"Bishops Diocesan College, University of Cape Town, University of Cape Town, Y Combinator, Bishops Diocesan College, Bishops Diocesan College, University of Cape Town, University of Cape Town, University of Cape Town, University of Cape Town, Diocesan College (Bishops) Cape Town, Actuarial Society of South Africa, University of Cape Town","Matric, Straight As, Academic tie, Bachelor of Business Science (Honours), Actuarial Science, Master of Science, Statistics (Advanced Analytics), W22, Straight As, Academic tie, Matric, Distinction for all subjects, Academic tie, Bachelor of Business Science(Honours), Actuarial Science, Actuarial Science, Master of Science (MSc), Statistics, Bachelor of Business Science(Honours), Actuarial Science, Quantitative Finance, Master of Science (MSc), Statistics, Machine Learning, Matric, with distinction, Student Actuary, Actuarial Science, Master of Science (MSc), Statistics, Machine Learning",,,
Data Scientist | Machine Learning Engineer| NLP @ VoxCroft Analytics,"Cape Town, Western Cape, South Africa",South Africa,,"Invited Speaker, Research And Development Engineer, Data Scientist, Software Developer","eTech, Africa Women In Data Science 2022, TESSERACT INTELLIGENCE CREATOR, VoxCroft Analytics",8,"Institut Supérieur Polytechnique de Madagascar (ISPM), Africa Data Science Intensive Program, Institut Supérieur Polytechnique de Madagascar (ISPM), Africa Data Science Intensive (DSI) Program by DARA Big Data","Master of Science - MS, Business Computing, Software Engineering and Artificial Intelligence, Data Science and Machine Learning, Master of Science - MS, Business Computing, Software Engineering and Artificial Intelligence, Data Science and Machine Learning",,"Africa DSI Final Certificate of Excellence, Management & Leadership, Africa DSI Finalist Certificate, Data Engineering, Big Data, and Machine Learning on GCP","Emotion-based music recommender system using a deep reinforcement learning approach | 2020 Africa DSI, TENTA-DRUM, a robot drummer | ISPM"
Founder & CEO | Board Member | Startup Advisor | Investment Readiness | Building An AI EdTech,"City of Cape Town, Western Cape, South Africa",South Africa,Education Management,"Eskom Science Expo Mentor, Advisor, Founder & CEO, Advisory Board Member, Advisory Board Member (Greentech Africa 2025), Lifestyle Business Owner, TPC Course Coordinator & Facilitator, Information Technology Developer, Business Builder, Venture Builder, Assistant French/English Translator, Eskom science expo mentor, Techpreneurship Programme Coordinator & Facilitator, Techpreneurship Centre Director, Data Steward, Student, Founder, Data Scientist, Techpreneurship Centre Lead, Entrepreneur & Public Speaker","Dieudonne Maloba, Freelance, Eskom Expo for Young Scientists, Amour de L'Eternel, theLAB, The LaunchLab, Village Capital, Medpages (Pty) Ltd, theLAB Guesthouses, Stellenbosch University, LaunchLab, Maloba Consulting, ZANDAUX | B2B Digital Marketplace for Africa",22,"Stellenbosch University/Universiteit Stellenbosch, University of South Africa/Universiteit van Suid-Afrika, Stellenbosch University/Universiteit Stellenbosch, Stellenbosch University/Universiteit Stellenbosch, Stellenbosch University/Universiteit Stellenbosch, Stellenbosch University/Universiteit Stellenbosch","Telecommunication, Electrical and Electronic Engineering, Engineer’s Degree, Electrical and Electronics Engineering, third year, Engineer’s Degree, Electrical and Electronics Engineering, Final year, Engineer’s Degree, Electrical and Electronics Engineering, 3rd year, Electrical and Electronics Engineering, , Electrical and Electronics Engineering","customer relationship management (crm), engineering, microsoft office, vhdl, matlab, research, team leadership, powerpoint, java, teamwork, electrical design, programming, signal processing, embedded c, c++, c, latex, leadership",,
,"City of Cape Town, Western Cape, South Africa",South Africa,,Senior Data Scientist,"ayoba, Loop",3,,,,"Joint International Space Weather Summer Camp, Python for Data Science, Data Science with Python, SQL for Data Science, SAS Academy for Data Science: Predictive Modeling, Microsoft Certified: Azure Fundamentals, Machine Learning","Hackathon : Machine Learning for HR Analytics, Predict number of upvotes, Natural Language Processing : Predict The News Category Hackathon, Analytics Vidhya Datahack : Machine Learning Loan Prediction, Features that influence a customer's decision to acquire a banking product., JanataHack: Machine Learning for Banking, Machine Learning for HealthCare : Predict whether a given patient can be identified to be having liver disease or not, Machine Learning in HR : Predict Employee Churn, Hackathon: Twitter Sentiment Analysis"
Data Science | Data Engineer | Decision Science,"City of Cape Town, Western Cape, South Africa",South Africa,Financial Services,"Data Scientist, Senior Manager: Data Engineering & Integration (Decision Science), Credit Analyst, Analyst, Actuarial Analyst, Consultant, Data Scientist (AVP), Senior Manager: Digital Banking, Senior Manager: Data Science & Engineering","JUMO.WORLD, NBC Holdings, Absa Group, Barclays Africa Group Limited, MTN, MoMo from MTN, PICSolutions, Redwood Third Party Processing",17,"University of the Western Cape/Universiteit van Wes-Kaapland, Harold Cressy","B.Sc (Mathematics & Statistical science), Mathematics and Statistics","financial advisory, tableau, predictive analytics, data analysis, pension funds, statistical data analysis, hadoop, apache spark, retirement, mathematics, statistics, postgresql, python, credit risk, employee benefits, mapreduce, transact-sql (t-sql), qlikview, qlikview development, sql, apache hive, sas programming, data science, r, big data analytics, financial and investments, mathematical modeling, credit scoring, scala",,
Payment Integrations Engineering Manager at Primer,"City of Cape Town, Western Cape, South Africa",South Africa,Higher Education,"Junior developer, Intern, Computer Scientist, Machine Learning Consultant, Data Scientist, Staff Software Engineer, Team Lead, Software Engineer, Solutions Architect (Machine Learning), Engineering Manager, Senior Software Engineer, Senior Software Engineer (Machine Learning), Backend Software Engineer, Senior Backend Software Engineer, Student","phidata, SnapScan, Praelexis, Primer, EDH Software Group, VASTech, Volter AI, Inc., Agno, University of Stellenbosch, videogame.ai",15,"University of Stellenbosch, University of Stellenbosch","Undergraduate Bsc, Mathematics and Computer Science, Master of Science (MSc), Computer Science, Cum Laude","data analysis, statistical data analysis, social network analysis, latex, c, numerical analysis, python, simulations, deep learning, c++, science, docker, machine learning, microservices, data mining, data science, computer science, big data analytics, devops, algorithms, java",,
Software Engineer,"City of Cape Town, Western Cape, South Africa",South Africa,Oil & Energy,"Software Engineering and Data Science Intern (RMB Foundery), Engineering and Data Science Intern, Data Scientist, Data Science Internship, Technical Lead - Data Science & Machine Learning, Software Engineer, Junior Data Scientist, Senior Software Engineer, Software Engineering Intern (RMB Foundery)","DataProphet, OrderIn, Rand Merchant Bank, Orderin, takealot.com",8,"EWC TVET College, EWC TVET College, WeThinkCode_","Mechatronics Engineering, Technical Metric (NCV), Mechatronics, Robotics, and Automation Engineering, Level 4, Software Engineering","data analysis, software reliability engineering, object-oriented programming (oop), xamarin, c, c#, python, php, django, c++, software development, erlang, docker, machine learning, cqrs architecture, javascript, computer science, distributed software systems, functional programming, object-relational mapping (orm), kubernetes, heroku, elixir",,
Co-Founder at Beeline | Maximising realised potential through training 💡,"City of Cape Town, Western Cape, South Africa",South Africa,Management Consulting,"Solutions Consulting Associate, E-Learning Course Developer and Online Lecturer, Intern, Data Scientist, Freelance Writer, Engineer, Co-Founder & Director, Co-Founder & Director, Engineer, Director, Software Engineer / Asset Management Consultant","Tetra Pak, Greenchain Engineering, Beeline, mtu solutions, Towards Data Science, Rolls-Royce, ORBIT | Real Estate Data, Gaussian Engineering, Eskom Holdings SOC Ltd",12,"Stellenbosch University/Universiteit Stellenbosch, Stellenbosch University","Engineer’s Degree, Mechatronics, Robotics, and Automation Engineering, Bachelor of Engineering (B.Eng.), Mechatronics, Robotics, and Automation Engineering, Bachelor of Engineering (B.Eng.), Mechatronics, Robotics, and Automation Engineering","creative writing, public speaking, python, microsoft office, matlab, research, powerpoint, microsoft word, mathcad, machine learning, customer service, programming, project management, microsoft excel, plc programming, plc ladder logic, writing","Performing under Pressure, Project Management Foundations, Certified Green Building Professional: New Buildings, Excel Crash Course - Spreadsheet Formulas for Finance, Reading Financial Statements, The Art of Value Investing, Docker Mastery: The Complete Toolset From a Docker Captain, The Complete React Native and Redux Course, Chief Technology Officer Career Guide, ISO 8000 Master Data Quality Manager, Accounting Fundamentals, 2023 Africa EdTech 50, Project Management Simplified, Skippers License, Decision-Making Strategies, Strategic Partnerships: Ecosystems and Platforms, Learning NGINX, Backend Web Development with Django , Python For Data Science and Machine Learning Bootcamp, Setting Team and Employee Goals Using SMART Methodology, Market Trends and How to Identify Them, Docker Essential Training: 2 Orchestration, Project Management Foundations: Small Projects, Backend Web Development with Django, PADI Open Water Diver","IOT Smart Water and Wastewater Management System, The development of a Passenger Counting System for the Passenger Rail Environment using Machine Learning, Computer Vision and Statistical Techniques."
Founder CEO at ExploreAI,"City of Cape Town, Western Cape, South Africa",South Africa,Insurance,"Business Analyst, Founder CEO at ExploreAI, Actuarial Consulting, CEO, Lecturer Actuarial Science, Chief Data Scientist, Founder Chairman at ExploreAI, Head of Enterprise AI, Chief Actuary, Founder CEO ExploreAI, Founder CEO","ExploreAI, Viva Life Assurance, Nedbank Insurance, University of KwaZulu-Natal, Vodacom Life and ST Insurance, Telkom, EXPLORE, Sand Technologies, McKinsey & Company",25,"University of Cape Town, University of Cape Town",-,"business strategy, strategy, management, business analysis, business development",,
Data Scientist,"City of Cape Town, Western Cape, South Africa",South Africa,Internet,"Freelance data scientist, Science Processing Developer, Technical Writer, Data Scientist","Upwork, SKA South Africa, Aruba, a Hewlett Packard Enterprise company, Prodigy Finance, Ritza",13,"Hudson Park Primary School, Hudson Park High School, Rhodes University, Rhodes University, Rhodes University / University of Cape Town (NASSP), Rhodes University, ****** ********** / ********** ** **** **** (*****), ****** **********, ******, *****, * ******* ******* ********** *******, Ritza, Hudson Park Primary School, Hudson Park High School, Rhodes University / NASSP","-, -, Bachelor of Science (BSc), Physics, Mathematics, First class, BSc Honours, Physics, Mathematics, First class, Master of Science (MSc), Physics, Radio Astronomy, Doctor of Philosophy (PhD), Physics, Radio Astronomy, -, First class, First class, -, -, Master of Science (MSc), Physics, Radio Astronomy","public speaking, python, data visualization, microsoft office, image processing, research, matlab, events organisation, data analysis, numpy, matplotlib, signal processing, numerical python, latex, technical writing, statistics",,
